,Fecha,ventas_20003,ventas_20004,ventas_20005,ventas_20019,ventas_20046,ventas_20108,ventas_20118,ventas_20207,ventas_20264,ventas_20322,ventas_20379,ventas_20384,ventas_20396,ventas_20459,ventas_20522,ventas_20547,ventas_20580,ventas_20440,totales_ventas,edad_ventas_20003,diff_ventas_20003,fraccion_ventas_20003,edad_ventas_20004,diff_ventas_20004,fraccion_ventas_20004,edad_ventas_20005,diff_ventas_20005,fraccion_ventas_20005,edad_ventas_20019,diff_ventas_20019,fraccion_ventas_20019,edad_ventas_20046,diff_ventas_20046,fraccion_ventas_20046,edad_ventas_20108,diff_ventas_20108,fraccion_ventas_20108,edad_ventas_20118,diff_ventas_20118,fraccion_ventas_20118,edad_ventas_20207,diff_ventas_20207,fraccion_ventas_20207,edad_ventas_20264,diff_ventas_20264,fraccion_ventas_20264,edad_ventas_20322,diff_ventas_20322,fraccion_ventas_20322,edad_ventas_20379,diff_ventas_20379,fraccion_ventas_20379,edad_ventas_20384,diff_ventas_20384,fraccion_ventas_20384,edad_ventas_20396,diff_ventas_20396,fraccion_ventas_20396,edad_ventas_20459,diff_ventas_20459,fraccion_ventas_20459,edad_ventas_20522,diff_ventas_20522,fraccion_ventas_20522,edad_ventas_20547,diff_ventas_20547,fraccion_ventas_20547,edad_ventas_20580,diff_ventas_20580,fraccion_ventas_20580,edad_ventas_20440,diff_ventas_20440,fraccion_ventas_20440
0,2017-01-01,1063.45835,555.9161399999999,494.27011,409.5724,258.48154999999997,143.8538,109.60467999999999,67.8115,55.30515,56.1257,23.52199,16.78141,13.3353,,,,,,3268.0380800000003,1,,0.3254118599499306,1,,0.17010699581566685,1,,0.1512436813465772,1,,0.1253266914197034,1,,0.07909379991067912,1,,0.04401839772931899,1,,0.033538372967796014,1,,0.020749911212784886,1,,0.01692304332022961,1,,0.01717412668581879,1,,0.007197587489555813,1,,0.005135010544307978,1,,0.004080521607630716,,,,,,,,,,,,,,,
1,2017-02-01,752.1152,508.20044,551.4306,402.63563,232.67616,99.71241,84.55499,23.07171,23.69657,11.39745,19.01909,18.13439,5.1823,,,,,,2731.82694,2,-0.2927647801157423,0.27531582948662187,2,-0.0858325502116199,0.18602951473931947,2,0.11564626070550785,0.20185414819871425,2,-0.016936614869556697,0.1473869461145295,2,-0.09983455298840464,0.08517236454224293,2,-0.30684896749338564,0.036500266008797765,2,-0.22854580662066606,0.03095181058577598,2,-0.6597670011723675,0.008445524005265137,2,-0.5715304994200359,0.008674257381765187,2,-0.796929926931869,0.004172098105160351,2,-0.19143363295367444,0.0069620405749421296,2,0.08062373781464124,0.006638191363615442,2,-0.6113848207389411,0.001897008893250024,,,,,,,,,,,,,,,
2,2017-03-01,917.16548,489.91328,563.89955,278.9498,200.25087,101.54344,128.22262,39.68851,29.60812,34.05111,16.79313,15.29524,19.45847,,,,,,2834.83962,3,0.21944813773209218,0.32353346324403354,3,-0.03598414830180003,0.17281869370797068,3,0.022612002308177944,0.19891761989695908,3,-0.30719047392800286,0.09840055784178717,3,-0.13935802447487536,0.07063922367502398,3,0.018363110469398928,0.035819818265415665,3,0.5164406027367515,0.04523099617183987,3,0.7202240319421491,0.014000266441880757,3,0.24946859397794693,0.010444372158168156,3,1.9876077543661086,0.012011653061346729,3,-0.1170381968853398,0.005923837765467664,3,-0.15656164888920995,0.005395451612885246,3,2.7547942033460044,0.006864046157221408,,,,,,,,,,,,,,,
3,2017-04-01,525.82591,512.05402,662.59032,266.86066,129.85681,92.00196000000001,85.47476999999999,63.6473,25.66279,25.20993,19.10607,15.415460000000001,11.46143,,,,,,2435.16743,4,-0.4266837103376372,0.21593008493875923,4,0.04519318194436381,0.21027466682239587,4,0.17501480538510814,0.2720923053738445,4,-0.043338048638142015,0.10958616508763014,4,-0.35152935914835226,0.05332561876453809,4,-0.09396451410352055,0.03778054800938267,4,-0.333387743909772,0.03510016147021151,4,0.6036706845381699,0.026136724405845066,4,-0.1332516215146385,0.010538408851829955,4,-0.2596443992574692,0.01035244217273389,4,0.13773132227285784,0.007845895836410722,4,0.007859961661275113,0.006330349121004793,4,-0.410979897186161,0.004706629145413628,,,,,,,,,,,,,,,
4,2017-05-01,620.48202,543.3667,515.58711,258.76201,227.65776,80.64498,73.72452,42.42273,27.19276,21.99693,20.57799,13.6287,12.5218,,,,,,2458.56601,5,0.18001416096061149,0.2523755788847012,5,0.06115112620344236,0.2210096038869422,5,-0.22186139091195894,0.20971050112256293,5,-0.03034786019040806,0.10524916107499589,5,0.7531445597654832,0.09259778223322952,5,-0.12344280491415624,0.03280163301370948,5,-0.13747039038537331,0.029986797059803165,5,-0.3334716476582667,0.017255070568554718,5,0.05961822545405229,0.011060414847271072,5,-0.127449778718148,0.008947056906558306,5,0.07703939114637394,0.008369915599703584,5,-0.11590701801957262,0.0055433532980471,5,0.09251637884626968,0.005093131503920857,,,,,,,,,,,,,,,
5,2017-06-01,744.08829,590.50779,528.58883,254.48793,150.17698,78.72325000000001,76.95429,25.70016,18.81821,24.89216,10.39779,11.1461,9.95668,,,,,,2524.43846,6,0.19921007541846256,0.2947539826342212,6,0.0867574144679826,0.23391649246224844,6,0.02521731002933719,0.20938867727439078,6,-0.01651741691139271,0.10080971829275649,6,-0.34033884898103195,0.059489261623751365,6,-0.023829505568728475,0.031184459929357918,6,0.04380862703480473,0.030483725873832555,6,-0.39418891712060966,0.010180545260746821,6,-0.3079698419726427,0.007454414238325303,6,0.13161973057149345,0.009860474079451318,6,-0.4947130404864615,0.004118852633864563,6,-0.18215970708871718,0.00441527895276956,6,-0.20485233752335927,0.003944116744283796,,,,,,,,,,,,,,,
6,2017-07-01,785.12398,569.88117,625.84925,309.08290999999997,153.43819,77.09707,69.7893,32.41963,17.9224,15.90979,11.71749,10.1754,13.40551,,,,,,2691.81209,7,0.055148952821176545,0.29167116936457477,7,-0.03493030972546527,0.2117091204535009,7,0.18400014241693294,0.23250109185741863,7,0.2145287597726146,0.114823360496906,7,0.021715778277070198,0.057001820658291194,7,-0.020656921557481493,0.028641326891432457,7,-0.09310708993611666,0.025926512574657466,7,0.26145634890988995,0.012043793889045204,7,-0.047603358661636834,0.006658117060466877,7,-0.36085136846300203,0.005910438570026632,7,0.12692120152455466,0.004353011877586151,7,-0.0870887575026243,0.0037801301353097053,7,0.34638353346697887,0.004980106170784009,,,,,,,,,,,,,,,
7,2017-08-01,864.21928,1042.52979,1068.01865,419.19946,184.1583,86.64117,85.28805,38.79483,29.57382,20.005499999999998,24.39936,14.45344,14.26834,,,,,,3891.54999,8,0.10074243306133647,0.22207585209511854,8,0.8293810093777972,0.26789577229611794,8,0.7065110328086197,0.27444556866658676,8,0.3562686464935898,0.10772043557893496,8,0.2002116291908814,0.04732260936470715,8,0.12379329071779252,0.02226392317267907,8,0.22207917259522594,0.02191621596000621,8,0.19664629115137958,0.009968991815520786,8,0.6501037807436505,0.007599496364172365,8,0.2574333162159902,0.005140753697474665,8,1.0823026091765389,0.006269830803329858,8,0.4204296636987245,0.0037140573902790853,8,0.06436383248380709,0.003666492795072639,,,,,,,,,,,,,,,
8,2017-09-01,1465.83347,1259.6456,1247.8888,535.81007,333.02527,144.1391,130.65707,71.61155,33.58796,33.39434,27.54607,28.064880000000002,19.23496,,,,,,5330.4391399999995,9,0.6961360431579355,0.274993003672114,9,0.20825861484495325,0.23631178724985877,9,0.1684148024943197,0.23410619035789237,9,0.2781745234118384,0.1005189358563805,9,0.8083641627882099,0.06247614150604485,9,0.6636328895373874,0.02704075522002865,9,0.531950490133143,0.02451150206735125,9,0.8459044671674034,0.013434455983677172,9,0.13573288807465525,0.006301161896391149,9,0.6692579540626329,0.006264838435056216,9,0.12896690732871677,0.005167692431434458,9,0.9417439723692077,0.00526502212348681,9,0.34808674309695453,0.003608513200283908,,,,,,,,,,,,,,,
9,2017-10-01,1958.59845,1268.21209,875.13411,846.79489,269.95773,157.174,161.11507,80.75395,35.56463,37.94908,19.95445,24.71889,21.0932,,,,,,5757.02054,10,0.33616709543410817,0.34021043287783714,10,0.006800714423167858,0.22028965871989054,10,-0.29870825829993825,0.15201163586607594,10,0.5804012231423721,0.1470890861195364,10,-0.18937764092196355,0.04689191711655766,10,0.09043278333221168,0.02730127483616725,10,0.2331140595759571,0.02798584248233375,10,0.12766655658200401,0.014027038715411635,10,0.05885055240032436,0.006177610406788647,10,0.136392574310497,0.006591791663123022,10,-0.2755972086036229,0.0034661071402048533,10,-0.11922338524162597,0.004293694946587771,10,0.09660742730944065,0.003663909109485303,,,,,,,,,,,,,,,
