,Fecha,ventas_20600,ventas_20672,ventas_20701,ventas_20735,ventas_20739,ventas_20749,ventas_20756,ventas_20761,ventas_20810,ventas_20820,ventas_20823,ventas_20949,ventas_20961,ventas_20986,ventas_21014,ventas_20878,ventas_21058,ventas_21097,ventas_21110,ventas_21129,totales_ventas,edad_ventas_20600,diff_ventas_20600,fraccion_ventas_20600,edad_ventas_20672,diff_ventas_20672,fraccion_ventas_20672,edad_ventas_20701,diff_ventas_20701,fraccion_ventas_20701,edad_ventas_20735,diff_ventas_20735,fraccion_ventas_20735,edad_ventas_20739,diff_ventas_20739,fraccion_ventas_20739,edad_ventas_20749,diff_ventas_20749,fraccion_ventas_20749,edad_ventas_20756,diff_ventas_20756,fraccion_ventas_20756,edad_ventas_20761,diff_ventas_20761,fraccion_ventas_20761,edad_ventas_20810,diff_ventas_20810,fraccion_ventas_20810,edad_ventas_20820,diff_ventas_20820,fraccion_ventas_20820,edad_ventas_20823,diff_ventas_20823,fraccion_ventas_20823,edad_ventas_20949,diff_ventas_20949,fraccion_ventas_20949,edad_ventas_20961,diff_ventas_20961,fraccion_ventas_20961,edad_ventas_20986,diff_ventas_20986,fraccion_ventas_20986,edad_ventas_21014,diff_ventas_21014,fraccion_ventas_21014,edad_ventas_20878,diff_ventas_20878,fraccion_ventas_20878,edad_ventas_21058,diff_ventas_21058,fraccion_ventas_21058,edad_ventas_21097,diff_ventas_21097,fraccion_ventas_21097,edad_ventas_21110,diff_ventas_21110,fraccion_ventas_21110,edad_ventas_21129,diff_ventas_21129,fraccion_ventas_21129
0,2017-01-01,6.40621,4.85488,5.60715,6.13254,4.3465,2.07275,4.6230199999999995,1.81658,3.29818,1.7301199999999999,5.39972,0.83242,1.71881,0.98605,1.04447,,,,,,50.86939999999999,1,,0.12593445175292023,1,,0.09543812193578065,1,,0.11022638364124603,1,,0.12055459667304903,1,,0.08544429460540129,1,,0.04074649986042691,1,,0.09088017550826234,1,,0.0357106629918969,1,,0.06483622767321809,1,,0.034011016446036324,1,,0.10614868663676004,1,,0.016363865113408066,1,,0.033788682390592385,1,,0.019383951845313687,1,,0.02053238292568814,,,,,,,,,,,,,,,
1,2017-02-01,5.96012,3.66865,4.72219,7.49308,4.00424,0.27473000000000003,3.75599,0.23696,2.47034,4.00974,5.30897,1.29329,1.10396,0.01048,1.09689,0.54463,,,,,45.95425999999999,2,-0.06963399576348572,0.12969678980795254,2,-0.24433765613156241,0.07983264228387098,2,-0.157827060092917,0.10275848202103573,2,0.22185587048759575,0.16305517703908193,2,-0.07874381686414347,0.08713533848657341,2,-0.8674562778916898,0.005978335849603499,2,-0.18754623601022696,0.08173322777910037,2,-0.8695570797872926,0.005156431634412132,2,-0.25099903583188293,0.05375649613332911,2,1.3176080271888655,0.08725502271171379,2,-0.01680642699991849,0.11552726558974079,2,0.5536508012782009,0.028142983914875363,2,-0.35771842146601424,0.024023017670179007,2,-0.989371735713199,0.00022805285081296058,2,0.050188133694601005,0.023869169038953083,1.0,,0.011851567188765526,,,,,,,,,,,,
2,2017-03-01,6.7958300000000005,3.88467,4.49689,8.12308,5.08611,5.9284,3.1640800000000002,5.25857,2.61982,2.91495,5.21758,1.39757,1.53688,0.0042,1.5359,2.3825,,,,,60.34703,3,0.14021697549713774,0.11261250139402057,3,0.058882695269376985,0.06437218202784793,3,-0.04771091379211779,0.07451717176470822,3,0.08407757557639847,0.13460612726094393,3,0.27018110802549283,0.08428103255454328,3,20.57900484111673,0.09823847171932074,3,-0.15759094140293237,0.05243141211754747,3,21.19180452397029,0.08713883682428117,3,0.06050988932697507,0.043412575565027804,3,-0.2730326654596058,0.04830312278831287,3,-0.017214261900142688,0.08645959875738707,3,0.08063156755252103,0.023158886195393545,3,0.39215188956121594,0.025467367656701583,3,-0.5992366412213741,6.959745989156384e-05,3,0.40023156378488284,0.02545112824939355,2.0,3.3745294970897675,0.03947998766467878,,,,,,,,,,,,
3,2017-04-01,4.80466,3.71531,3.00798,6.44877,3.6310000000000002,3.37921,2.82066,3.86514,2.17905,2.2638,5.13763,1.00867,1.02275,2.2565999999999997,1.30223,1.86456,,,,,48.708020000000005,4,-0.29299879484919433,0.09864207167526004,4,-0.04359701081430334,0.07627717160336224,4,-0.33109771419803463,0.061755333105307904,4,-0.2061176302584734,0.13239647187465226,4,-0.28609487407861794,0.07454624515634181,4,-0.4299962890493219,0.06937687058517263,4,-0.10853707870850296,0.057909559863036926,4,-0.26498268540686915,0.07935325640418148,4,-0.16824438320189924,0.044736985818762495,4,-0.22338290536715907,0.046476945685741275,4,-0.015323195811084869,0.10547811222874588,4,-0.27826870925964353,0.020708499339533816,4,-0.33452839519025557,0.020997568778201206,4,536.2857142857142,0.04632912608642272,4,-0.1521388111205157,0.026735432891749653,3.0,-0.21739349422875126,0.038280348903527585,,,,,,,,,,,,
4,2017-05-01,6.76969,5.28413,5.62818,5.4906999999999995,4.50615,2.6531,2.55582,3.05218,2.20878,2.39493,3.25075,0.9499,0.59395,0.17873,0.95553,2.13767,,,,,48.61019,5,0.40898419451116197,0.13926483315535282,5,0.42225816957400597,0.10870416264573333,5,0.8710829194343049,0.11578189675868372,5,-0.14856631574703397,0.11295368316807647,5,0.24102175709171017,0.09269969938401804,5,-0.21487566620600682,0.054579091338667875,5,-0.09389291867860712,0.052577864846856184,5,-0.21033132046963368,0.06278889261695952,5,0.013643560267088782,0.04543862099695557,5,0.05792472833289169,0.04926806498802,5,-0.3672666190441896,0.06687383859227869,5,-0.058264843804217425,0.019541170277260794,5,-0.41926179418235154,0.012218631525612221,5,-0.9207967739076487,0.0036768010986996755,5,-0.2662356112207521,0.019656989614728927,4.0,0.1464742352083065,0.043975758992096096,,,,,,,,,,,,
5,2017-06-01,4.9193299999999995,4.03824,2.74535,4.52452,2.96739,2.20576,2.90202,2.81796,2.7729,1.61767,2.98804,0.71032,1.1977,1.23821,0.73768,1.6653499999999999,,,,,40.04844,6,-0.2733300934016181,0.12283449742361999,6,-0.2357795890714271,0.10083389015901743,6,-0.5122135397233208,0.06855073505984254,6,-0.17596663449104843,0.11297618583894903,6,-0.3414799773642688,0.07409502092965418,6,-0.1686103049263125,0.05507730138801911,6,0.13545554851280592,0.07246274761264108,6,-0.07673859339881661,0.07036378945097486,6,0.25539890799445847,0.06923865199243716,6,-0.3245439323905083,0.040392834277689714,6,-0.08081519649311704,0.07461064650707992,6,-0.2522160227392357,0.01773652107298062,6,1.0164997053624043,0.02990628349069277,6,5.927824092206121,0.03091780853386549,6,-0.22798865551055433,0.0184196937508677,5.0,-0.22095084835358128,0.041583392511668364,,,,,,,,,,,,
6,2017-07-01,3.25669,2.68174,1.85019,2.0714799999999998,1.89702,2.40116,1.82749,1.61511,1.8666500000000001,0.99182,1.11671,0.8827499999999999,1.05266,0.6124,0.46521,1.2612,,,,,25.850279999999998,7,-0.3379809852154663,0.12598277465466526,7,-0.3359136653591664,0.1037412360717176,7,-0.3260640719762508,0.07157330597579602,7,-0.542165798802967,0.08013375483747177,7,-0.3607109277850232,0.07338489176906401,7,0.08858624691716224,0.09288719503231688,7,-0.37026967422691776,0.07069517235403254,7,-0.4268513392667035,0.062479400609974055,7,-0.3268239027732698,0.07221004956232584,7,-0.38688360419615864,0.0383678629399759,7,-0.6262734099945114,0.043199145231695754,7,0.2427497465930848,0.03414856628245419,7,-0.12109877264757457,0.040721415783504085,7,-0.50541507498728,0.023690265637354803,7,-0.3693606984058128,0.01799632344407875,6.0,-0.24268171855766044,0.04878863981357263,,,,,,,,,,,,
7,2017-08-01,4.78536,4.31141,3.52006,2.03485,3.29631,2.92358,3.42835,3.06964,2.32221,2.32493,1.5428199999999999,1.06584,1.61504,1.00494,1.02271,1.88183,,,,,40.14988,8,0.4693937709760524,0.11918740479423598,8,0.6076912750676801,0.10738288632494045,8,0.9025397391619239,0.08767298930905895,8,-0.017683009249425397,0.050681346992817906,8,0.7376253281462506,0.08210012084718558,8,0.21756984124339898,0.07281665599000545,8,0.8759883775013816,0.08538879817324485,8,0.9005764313266589,0.07645452489521762,8,0.2440521790373128,0.05783852903171815,8,1.3441047770764856,0.05790627518687478,8,0.38157623734004326,0.038426515845128295,8,0.20740866610025488,0.02654653015152224,8,0.5342465753424659,0.04022527589123554,8,0.6409862834748528,0.02502971366290509,8,1.1983835257195674,0.02547230527214527,7.0,0.49209483032032963,0.04687012763176378,,,,,,,,,,,,
8,2017-09-01,5.094,6.75129,3.69401,2.61844,3.25607,3.53063,2.91236,3.03249,1.16267,2.298,1.6187799999999999,1.15432,1.69102,0.92472,1.0570599999999999,2.68548,,,,,43.481339999999996,9,0.0644967149806912,0.11715370317474118,9,0.5659123117495203,0.15526867387251636,9,0.049416771305034586,0.08495621340096696,9,0.28679755264515816,0.06021985522985263,9,-0.012207589698784481,0.07488430669339997,9,0.20763926418979475,0.08119873950526825,9,-0.15050680356439686,0.06697953650922442,9,-0.012102396372213033,0.06974233084812935,9,-0.4993260730080397,0.02673951630745511,9,-0.011583144438757347,0.05285025714478901,9,0.04923451860878134,0.037229303420731746,9,0.08301433611048574,0.026547479907472957,9,0.04704527442044775,0.03889070576021807,9,-0.07982566123350644,0.021267053867245124,9,0.03358723391772827,0.024310658319177836,8.0,0.4270577044685228,0.06176166603881114,,,,,,,,,,,,
9,2017-10-01,6.48936,5.40102,4.94323,2.75812,3.63403,4.0281899999999995,3.55283,2.08085,4.25418,2.92113,1.50958,1.55168,1.44573,1.27324,0.61813,2.39913,,,,,48.860429999999994,10,0.27392226148409876,0.13281422206067364,10,-0.2000017774380896,0.11053975579011484,10,0.3381745041296585,0.10117041540567695,10,0.05334473961595446,0.05644895061300116,10,0.11607858553409488,0.07437572694304984,10,0.1409266901374541,0.08244278652480136,10,0.21991443365518,0.07271385045117287,10,-0.31381471991663623,0.04258763175027318,10,2.6589746015636417,0.08706800165287126,10,0.27116187989556123,0.05978518813690342,10,-0.06745820926870852,0.030895757569059466,10,0.34423729988218166,0.0317573955038873,10,-0.14505446416955448,0.029588974145336015,10,0.37689246474608523,0.026058714587653038,10,-0.415236599625376,0.012650932462117096,9.0,-0.10662898252826314,0.049101696403408654,,,,,,,,,,,,
