,Fecha,ventas_20044,ventas_20047,ventas_20054,ventas_20075,ventas_20464,ventas_20502,ventas_20130,ventas_20143,ventas_20213,totales_ventas,edad_ventas_20044,diff_ventas_20044,fraccion_ventas_20044,edad_ventas_20047,diff_ventas_20047,fraccion_ventas_20047,edad_ventas_20054,diff_ventas_20054,fraccion_ventas_20054,edad_ventas_20075,diff_ventas_20075,fraccion_ventas_20075,edad_ventas_20464,diff_ventas_20464,fraccion_ventas_20464,edad_ventas_20502,diff_ventas_20502,fraccion_ventas_20502,edad_ventas_20130,diff_ventas_20130,fraccion_ventas_20130,edad_ventas_20143,diff_ventas_20143,fraccion_ventas_20143,edad_ventas_20213,diff_ventas_20213,fraccion_ventas_20213
0,2017-01-01,194.83483,180.06395,157.74961,136.63868,10.29763,9.36293,,,,688.94763,1,,0.28280063899777114,1,,0.2613608671532842,1,,0.22897184507333307,1,,0.19832955953415501,1,,0.014946898068290039,1,,0.01359019117316653,,,,,,,,,
1,2017-02-01,109.63006,193.11272,164.15913,131.90616,0.043379999999999995,10.43566,,,,609.2871100000001,2,-0.43731795798523293,0.17993169098883444,2,0.07246742060251367,0.3169486385490741,2,0.04063097208291048,0.2694282010988218,2,-0.034635287753072515,0.21649261544364523,2,-0.9957873802030175,7.119796117137615e-05,2,0.11457204101707477,0.01712765595845282,,,,,,,,,
2,2017-03-01,275.43315,262.74106,212.56051,205.11172,23.42313,14.21776,,,,993.48733,3,1.5123871135343718,0.27723871425718133,3,0.3605580202070584,0.2644634230010764,3,0.2948442770134076,0.2139539212845321,3,0.5549821175902626,0.20645630176280153,3,538.9522821576764,0.023576677117764552,3,0.36242077645304654,0.014310962576644031,,,,,,,,,
3,2017-04-01,254.27721,221.85738,188.47136,166.33532,10.97605,9.31955,,,,851.2368700000001,4,-0.07680970863528959,0.2987149863468672,4,-0.15560445710312654,0.26062942973792946,4,-0.11332843527708882,0.22140883065838066,4,-0.18905014301474338,0.19540427096396798,4,-0.531401226053051,0.01289423706470797,4,-0.34451348172989277,0.01094824522814666,,,,,,,,,
4,2017-05-01,142.46337,176.0593,157.18552,143.93329,14.91592,14.6675,,,,649.2249,5,-0.43973205463438897,0.219436084475503,5,-0.20643027516145732,0.27118383783493205,5,-0.165997847099952,0.24211258687089787,5,-0.13467993448414922,0.22170019973047858,5,0.35895153538841373,0.022974965994064612,5,0.5738420846500101,0.022592325094123778,,,,,,,,,
5,2017-06-01,201.25452,172.04789,154.93829,107.50196,12.15905,10.74713,,,,658.64884,6,0.41267555302110304,0.3055566301460427,6,-0.02278442547482588,0.26121338041072084,6,-0.01429667312866988,0.23523656399364493,6,-0.2531126051520118,0.16321589513465173,6,-0.18482735225182217,0.01846059578576044,6,-0.26728276802454404,0.016316934529179466,,,,,,,,,
6,2017-07-01,140.09683,154.47615000000002,122.30821,135.25946,9.34709,7.793130000000001,,,,569.28087,7,-0.30388231777353375,0.24609439273798187,7,-0.10213284219876209,0.2713531371605724,7,-0.210600491331097,0.21484686460656932,7,0.2582045945952985,0.2375970581973007,7,-0.2312647780871039,0.016419118387027476,7,-0.2748640799915884,0.013689428910548144,,,,,,,,,
7,2017-08-01,154.94538,155.55447,125.34696000000001,114.08256,8.55044,9.43783,,,,567.9176400000001,8,0.10598776574744759,0.2728307224265828,8,0.006980495047293648,0.2739032194879525,8,0.024845020624535405,0.22071327102993313,8,-0.15656501955574856,0.20087870487699586,8,-0.08522973460189211,0.01505577463661808,8,0.21104485617460497,0.016618307541917517,,,,,,,,,
8,2017-09-01,145.75337,219.10602,204.20177,167.91051000000002,11.678,9.63499,,,,758.28466,9,-0.05932419540356744,0.19221458337295125,9,0.4085485296565247,0.28894956150108586,9,0.6290923210263735,0.2692943438945475,9,0.4718332933622809,0.22143466544608723,9,0.36577766758201924,0.015400548917869445,9,0.020890395355712087,0.012706296867458718,,,,,,,,,
9,2017-10-01,192.53163,186.91006000000002,185.63589000000002,144.28327,13.72487,12.32872,,,,735.41444,10,0.3209411899018185,0.2618001762380407,10,-0.14694237976665353,0.25415609190377064,10,-0.09091929026863965,0.2524235042216468,10,-0.14071328828671908,0.19619314246807554,10,0.17527573214591524,0.018662769254299657,10,0.2795778719023061,0.016764315914166713,,,,,,,,,
10,2017-11-01,249.14573,198.58007,215.77355,163.29695,13.9734,11.87917,,,,852.64887,11,0.2940509047786069,0.2922020291893426,11,0.06243650020763992,0.23289782815287144,11,0.16234823987969127,0.2530626118111199,11,0.13178021263310724,0.19151723029903273,11,0.018108003937377957,0.0163882232084586,11,-0.03646363937213274,0.0139320773391748,,,,,,,,,
11,2017-12-01,169.06547,165.3691,120.63519000000001,100.78833,9.19724,9.6863,,,,574.74163,12,-0.3214193556518106,0.29415908153373194,12,-0.167242211164494,0.28772772210706227,12,-0.440917619420916,0.2098946443117406,12,-0.382791105406439,0.1753628495642468,12,-0.3418037127685459,0.016002390500232253,12,-0.18459791382731294,0.016853311982986164,,,,,,,,,
12,2018-01-01,133.95034,141.567,116.76379,109.8681,12.51798,1.12793,,,,515.79514,13,-0.20770137154559115,0.2596967858208203,13,-0.14393317735901082,0.27446361747417786,13,-0.03209179676344861,0.22637628962537337,13,0.09008751310791632,0.21300724159595613,13,0.3610583174952484,0.02426928644577768,13,-0.8835540918617016,0.002186779037894774,,,,,,,,,
13,2018-02-01,164.24915000000001,168.61753000000002,154.41318,127.04777,10.97202,13.96152,,,,639.26117,14,0.22619434933871763,0.25693590930917953,14,0.19107934758806788,0.26376939178082726,14,0.3224406299247396,0.2415494437117149,14,0.1563663156093534,0.19874157224346975,14,-0.12349915880996767,0.0171635952798447,14,11.378002180986408,0.0218400876749639,,,,,,,,,
