,Fecha,ventas_20649,ventas_20691,totales_ventas,edad_ventas_20649,diff_ventas_20649,fraccion_ventas_20649,edad_ventas_20691,diff_ventas_20691,fraccion_ventas_20691
0,2017-01-01,,,0.0,,,,,,
1,2017-02-01,,,0.0,,,,,,
2,2017-03-01,,,0.0,,,,,,
3,2017-04-01,,,0.0,,,,,,
4,2017-05-01,,,0.0,,,,,,
5,2017-06-01,,,0.0,,,,,,
6,2017-07-01,,,0.0,,,,,,
7,2017-08-01,,,0.0,,,,,,
8,2017-09-01,,,0.0,,,,,,
9,2017-10-01,,,0.0,,,,,,
10,2017-11-01,,,0.0,,,,,,
11,2017-12-01,,,0.0,,,,,,
12,2018-01-01,,,0.0,,,,,,
13,2018-02-01,,,0.0,,,,,,
14,2018-03-01,,,0.0,,,,,,
15,2018-04-01,,,0.0,,,,,,
16,2018-05-01,,,0.0,,,,,,
17,2018-06-01,,,0.0,,,,,,
18,2018-07-01,,,0.0,,,,,,
19,2018-08-01,,,0.0,,,,,,
20,2018-09-01,,,0.0,,,,,,
21,2018-10-01,,,0.0,,,,,,
22,2018-11-01,,,0.0,,,,,,
23,2018-12-01,,,0.0,,,,,,
24,2019-01-01,,,0.0,,,,,,
25,2019-02-01,,,0.0,,,,,,
26,2019-03-01,,,0.0,,,,,,
27,2019-04-01,,,0.0,,,,,,
28,2019-05-01,,,0.0,,,,,,
29,2019-06-01,46.89145,40.91599,87.80744,1.0,,0.5340259321989116,1.0,,0.4659740678010884
30,2019-07-01,47.184999999999995,34.48974,81.67473999999999,2.0,0.006260203086063583,0.5777183986138187,2.0,-0.1570596238780976,0.42228160138618137
31,2019-08-01,11.4058,23.9017,35.307500000000005,3.0,-0.7582748754900922,0.32304184663315155,3.0,-0.30699100660080353,0.6769581533668484
32,2019-09-01,12.26537,8.10353,20.3689,4.0,0.07536253485069014,0.6021616287575667,4.0,-0.6609642828752768,0.39783837124243326
33,2019-10-01,9.298630000000001,10.58803,19.88666,5.0,-0.2418793725749814,0.4675812831315063,5.0,0.30659478029944986,0.5324187168684937
34,2019-11-01,10.50418,12.653220000000001,23.157400000000003,6.0,0.1296481309612275,0.4535992814391943,6.0,0.1950495040153835,0.5464007185608056
35,2019-12-01,14.79183,7.99868,22.790509999999998,7.0,0.4081851224940928,0.6490346201116166,7.0,-0.3678541904748357,0.3509653798883834
