,Fecha,ventas_20592,ventas_20674,ventas_20732,ventas_20772,ventas_20774,ventas_20827,totales_ventas,edad_ventas_20592,diff_ventas_20592,fraccion_ventas_20592,edad_ventas_20674,diff_ventas_20674,fraccion_ventas_20674,edad_ventas_20732,diff_ventas_20732,fraccion_ventas_20732,edad_ventas_20772,diff_ventas_20772,fraccion_ventas_20772,edad_ventas_20774,diff_ventas_20774,fraccion_ventas_20774,edad_ventas_20827,diff_ventas_20827,fraccion_ventas_20827
0,2017-01-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
1,2017-02-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
2,2017-03-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
3,2017-04-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
4,2017-05-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
5,2017-06-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
6,2017-07-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
7,2017-08-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
8,2017-09-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
9,2017-10-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
10,2017-11-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
11,2017-12-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
12,2018-01-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
13,2018-02-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
14,2018-03-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15,2018-04-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
16,2018-05-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17,2018-06-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
18,2018-07-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
19,2018-08-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
20,2018-09-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
21,2018-10-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
22,2018-11-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
23,2018-12-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
24,2019-01-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
25,2019-02-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
26,2019-03-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
27,2019-04-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
28,2019-05-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,
29,2019-06-01,26.70396,20.76885,15.1343,16.92999,14.24986,16.49663,110.28358999999999,1.0,,0.24213901633053478,1.0,,0.18832221548101583,1.0,,0.13723075210010846,1.0,,0.1535132289400445,1.0,,0.1292110639488613,1.0,,0.14958372319943522
30,2019-07-01,20.59181,28.1103,16.54075,12.41001,10.51718,11.5079,99.67794999999998,2.0,-0.2288855285882693,0.20658340184564392,2.0,0.35348370275677266,0.2820112171247503,2.0,0.09293128853002779,0.1659419159402857,2.0,-0.26698066567080075,0.12450105564971994,2.0,-0.2619450296353789,0.1055116001081483,2.0,-0.30240903748220094,0.11545080933145195
31,2019-08-01,19.03502,13.01144,9.12834,8.46498,5.54602,5.9351899999999995,61.12099,3.0,-0.07560238755116716,0.31143180108830043,3.0,-0.5371290950292241,0.21288005969798593,3.0,-0.44813022384111967,0.14934869346847948,3.0,-0.3178909606035772,0.1384954661238308,3.0,-0.47267043066677566,0.09073838627286633,3.0,-0.48425081900259825,0.09710559334853705
32,2019-09-01,12.33918,8.2439,6.13867,7.66008,6.93476,4.11311,45.4297,4.0,-0.3517642744793543,0.2716104222568056,4.0,-0.36641140411822215,0.1814649887628578,4.0,-0.32751518896097204,0.1351245991058713,4.0,-0.09508587143738093,0.16861392437106124,4.0,0.25040299169494507,0.15264815748288016,4.0,-0.30699606920755695,0.09053790802052403
33,2019-10-01,15.79766,8.21731,10.685089999999999,11.58735,5.23648,4.22809,55.751979999999996,5.0,0.2802844273282341,0.2833560350681716,5.0,-0.0032254151554483384,0.14739046039261744,5.0,0.7406197107842576,0.19165400044984948,5.0,0.5126930789234578,0.20783746155741917,5.0,-0.2448938391523282,0.09392455658077077,5.0,0.027954516169030268,0.07583748595117161
34,2019-11-01,10.86201,9.43799,7.18241,5.82026,5.94412,3.65318,42.899969999999996,6.0,-0.3124291825498207,0.253193883352366,6.0,0.14854982956709675,0.21999992074586533,6.0,-0.3278100605610247,0.16742226160064916,6.0,-0.4977056876680173,0.13567049114486562,6.0,0.13513658029821551,0.13855767265105315,6.0,-0.13597392676125628,0.08515577050520082
35,2019-12-01,12.04725,8.38539,5.96173,2.53867,5.44871,2.60942,36.99117,7.0,0.1091179256877871,0.3256790742223077,7.0,-0.11152798424240755,0.22668626053190533,7.0,-0.1699540961877698,0.16116629995753043,7.0,-0.5638218911182662,0.06862908094012707,7.0,-0.08334454889874358,0.14729758480199465,7.0,-0.2857127215193338,0.07054169954613494
