,Fecha,ventas_20028,ventas_20038,ventas_20066,ventas_20067,ventas_20069,ventas_20071,ventas_20072,ventas_20091,totales_ventas,edad_ventas_20028,diff_ventas_20028,fraccion_ventas_20028,edad_ventas_20038,diff_ventas_20038,fraccion_ventas_20038,edad_ventas_20066,diff_ventas_20066,fraccion_ventas_20066,edad_ventas_20067,diff_ventas_20067,fraccion_ventas_20067,edad_ventas_20069,diff_ventas_20069,fraccion_ventas_20069,edad_ventas_20071,diff_ventas_20071,fraccion_ventas_20071,edad_ventas_20072,diff_ventas_20072,fraccion_ventas_20072,edad_ventas_20091,diff_ventas_20091,fraccion_ventas_20091
0,2017-01-01,280.32732,230.12367,146.8347,178.56384,133.63467,103.05864,117.23166,105.8979,1295.6724,1,,0.21635663459374452,1,,0.17760945590876215,1,,0.11332702618347046,1,,0.13781557745615328,1,,0.10313924260484364,1,,0.07954066166725478,1,,0.09047939895918136,1,,0.08173200262658988
1,2017-02-01,315.79002,199.93209000000002,165.86167,165.07538,109.70674,102.87519,158.41098,82.31067,1299.96274,2,0.12650461610377484,0.2429223625286368,2,-0.1311971949691224,0.15379832348117917,2,0.12958088244808622,0.12758955691299276,2,-0.0755385860877544,0.1269847011153566,2,-0.17905480666057697,0.0843922188108253,2,-0.0017800545398230895,0.07913702972748281,2,0.3512644962973312,0.12185809264040906,2,-0.22273557832591584,0.06331771478311755
2,2017-03-01,435.33126,281.70105,148.72163,182.70471,173.91635,181.68269,157.01868000000002,151.63957,1712.71594,3,0.378546605114373,0.25417598437251654,3,0.40898367040528605,0.1644762236521253,3,-0.10333936707619065,0.08683379802023679,3,0.10679563481846906,0.10667543036938162,3,0.5852840946691151,0.10154418834917832,3,0.7660496179885549,0.10607870561419543,3,-0.008789163478440557,0.0916781798620967,3,0.8422832665558425,0.08853748976026929
3,2017-04-01,331.41654,179.99659,140.45743,117.16721,158.7507,47.69863,153.0711,22.5826,1151.1408000000001,4,-0.23870263761899385,0.28790269617756575,4,-0.36103685094535504,0.15636366116117156,4,-0.05556824518397234,0.12201585592309817,4,-0.35870722763523727,0.10178356114212961,4,-0.08720082959422734,0.1379072829318533,4,-0.737461890287952,0.04143596508785024,4,-0.02514083037763415,0.13297339474024375,4,-0.8510771298019375,0.019617582836087468
4,2017-05-01,354.8727,297.2511,182.05823,175.31402,137.37363,223.43203,159.73776,115.69961,1645.73908,5,0.07077546582316022,0.2156312044312638,5,0.651426285353517,0.18061860693008516,5,0.2961808428361534,0.11062399393225808,5,0.4962720372022173,0.10652601140151573,5,-0.13465811489335167,0.08347230230444548,5,3.684244180598059,0.1357639450355642,5,0.04355270197966832,0.09706141267545279,5,4.123396331689,0.07030252328941475
5,2017-06-01,331.58034,332.5446,186.47868,196.1232,164.41161,163.93984,186.68286,171.4004,1733.1615299999999,6,-0.065635818139857,0.19131531265871105,6,0.1187329500210428,0.1918716716496702,6,0.024280418413383388,0.10759451832513268,6,0.11869661080157763,0.11315921603683415,6,0.19682074354444887,0.0948622544143361,6,-0.2662652709193037,0.09459005243440871,6,0.1686833470057424,0.10771232615577385,6,0.4814259097329713,0.09889464832513332
6,2017-07-01,280.86786,90.08562,95.81645,147.58599,133.19785,90.24291,97.88688,124.47058,1060.15414,7,-0.15294175764461782,0.2649311542564933,7,-0.729102141487187,0.08497407744877551,7,-0.4861801359812285,0.09037973478083101,7,-0.2474832656207934,0.13921182253742836,7,-0.18985131281178994,0.12564007909264965,7,-0.449536427509018,0.08512244266668617,7,-0.4756514872334825,0.0923326866412086,7,-0.27380227817437996,0.11740800257592729
7,2017-08-01,298.01772,275.23641,162.55945,145.90867,161.94808,137.63576,132.13746,76.72832,1390.1718700000001,8,0.061060243774421145,0.21437473051443628,8,2.0552757476720473,0.19798732512117365,8,0.6965714133637804,0.11693478591247856,8,-0.011365035393942262,0.10495728848261042,8,0.21584605156915085,0.11649500575781323,8,0.5251697889618144,0.09900629049557735,8,0.34989959839357426,0.09505116802572044,8,-0.38356260571775275,0.05519340569018994
8,2017-09-01,356.92019999999997,406.31138,228.72598,203.26928,187.36107,192.9172,180.70416,190.25268,1946.46195,9,0.19764757612399683,0.1833687013506737,9,0.4762268553059532,0.20874355134453051,9,0.4070297358904696,0.11750858011891782,9,0.3931268100792092,0.10443013283665782,9,0.1569206007258623,0.09625724766929043,9,0.4016502687964233,0.09911172422353287,9,0.3675467955869592,0.09283724246446226,9,1.479562696016282,0.0977428199919346
9,2017-10-01,321.31007999999997,239.38381,149.85736,213.96207,176.01297,167.57405,175.98672,133.26773,1577.35479,10,-0.09977053694355208,0.20370184440242511,10,-0.41083656086620063,0.1517628193210736,10,-0.34481706013457675,0.09500548700270532,10,0.05260406294546821,0.1356461281611856,10,-0.060568078523462826,0.11158743176606449,10,-0.1313680169523506,0.10623738620022195,10,-0.02610587382160992,0.1115707899806105,10,-0.29952245613570333,0.08448811316571334
