,Fecha,ventas_20010,ventas_20011,ventas_20016,ventas_20020,ventas_20021,ventas_20022,ventas_20024,ventas_20025,ventas_20030,ventas_20031,ventas_20035,ventas_20041,ventas_20043,ventas_20050,totales_ventas,edad_ventas_20010,diff_ventas_20010,fraccion_ventas_20010,edad_ventas_20011,diff_ventas_20011,fraccion_ventas_20011,edad_ventas_20016,diff_ventas_20016,fraccion_ventas_20016,edad_ventas_20020,diff_ventas_20020,fraccion_ventas_20020,edad_ventas_20021,diff_ventas_20021,fraccion_ventas_20021,edad_ventas_20022,diff_ventas_20022,fraccion_ventas_20022,edad_ventas_20024,diff_ventas_20024,fraccion_ventas_20024,edad_ventas_20025,diff_ventas_20025,fraccion_ventas_20025,edad_ventas_20030,diff_ventas_20030,fraccion_ventas_20030,edad_ventas_20031,diff_ventas_20031,fraccion_ventas_20031,edad_ventas_20035,diff_ventas_20035,fraccion_ventas_20035,edad_ventas_20041,diff_ventas_20041,fraccion_ventas_20041,edad_ventas_20043,diff_ventas_20043,fraccion_ventas_20043,edad_ventas_20050,diff_ventas_20050,fraccion_ventas_20050
0,2017-01-01,441.25546,489.25422000000003,293.66064,293.38983,331.17312,316.55771,313.33302,166.81392,354.354,138.09868,196.32423,191.12626,178.5289,155.55315,3859.4231400000003,1,,0.11433197242010629,1,,0.12676874295778826,1,,0.0760892572147453,1,,0.07601908869728133,1,,0.08580896885019972,1,,0.08202202726078903,1,,0.08118649047639798,1,,0.04322250086317304,1,,0.0918152757927445,1,,0.035782207596962275,1,,0.050868801600230856,1,,0.04952197597074053,1,,0.04625792340562066,1,,0.040304766893220205
1,2017-02-01,562.98287,383.99634000000003,249.36912,296.98903,257.28402,333.2784,297.14958,201.81798,379.7794,219.02896,156.71515,124.63658,181.28946,83.28901,3727.6058999999996,2,0.27586607086969533,0.15103068433280464,2,-0.21513944223107567,0.10301420007946657,2,-0.1508255243195002,0.06689793038475447,2,0.01226763722518942,0.07967286187630512,2,-0.22311321643495702,0.06902125034194201,2,0.052820353040840456,0.08940816409803408,2,-0.05164932824507281,0.07971593241656798,2,0.20983896307934022,0.0541414477319075,2,0.0717514124293786,0.10188292705513746,2,0.5860322488238121,0.058758615013459456,2,-0.2017533953908797,0.04204177002724457,2,-0.3478835404407537,0.03343609366000843,2,0.015462818624883693,0.04863428829748338,2,-0.46456236983950494,0.022343834684884475
2,2017-03-01,718.4487,700.9002,477.29682,382.3223,482.72522,536.75732,253.8081,323.63604,618.7454,182.35528,266.52674,310.18048,183.56082,237.1824,5674.44582,3,0.27614664368029523,0.12661125381932012,3,0.8252783346841274,0.12351870512704975,3,0.9140173410404625,0.0841133804322763,3,0.2873280201628995,0.06737614775569396,3,0.8762347541055989,0.08507002010638635,3,0.6105373765596573,0.09459202484728281,3,-0.14585744997519437,0.0447282621159999,3,0.6036036036036034,0.05703394662071159,3,0.6292231753486366,0.10904067456582042,3,-0.1674375845093727,0.032136227181388435,3,0.7007081957296408,0.04696965103809909,3,1.4886793267273541,0.05466269127229062,3,0.01252891370518736,0.032348677883755,3,1.8477034365038076,0.04179833723392569
3,2017-04-01,607.72864,482.76774,459.7047,420.6384,462.21315,393.67906,377.80469999999997,130.99086,362.4712,377.41272,194.77792,159.84267,211.90042,168.30778,4810.23996,4,-0.1541099037412135,0.12634060775629166,4,-0.31121757419957935,0.10036250665548918,4,-0.03685781941727586,0.09556793503499147,4,0.10021936988765763,0.0874464483056683,4,-0.04249222777297609,0.09608941629598038,4,-0.2665604262276294,0.08184187551425189,4,0.4885446918360761,0.07854175740538316,4,-0.5952525559267132,0.02723166850079554,4,-0.4141836044356855,0.0753540785936176,4,1.0696561130557887,0.07846026874717493,4,-0.269199330618759,0.04049234999078923,4,-0.48467850072319185,0.03322966657156123,4,0.15438806603718588,0.044051943720495805,4,-0.2903867234668339,0.03498947690750962
4,2017-05-01,759.99707,831.7764,539.34426,614.8222000000001,469.94443,465.94326,532.69398,295.54434,569.4962,245.63887,305.88238,168.32529,371.89154,200.07188,6371.3721,5,0.2505533226145142,0.11928310857876281,5,0.7229328537983917,0.13054902255669545,5,0.1732406912524496,0.08465119467751694,5,0.461640687107977,0.09649761312794776,5,0.016726655223894056,0.07375874813527215,5,0.18356119830198744,0.07313075624636647,5,0.4099718187730329,0.0836074195070164,5,1.2562210829060896,0.04638629409197432,5,0.5711488250652742,0.08938360388651607,5,-0.34915052677609804,0.038553527583171605,5,0.5704160923373657,0.04800887080508138,5,0.053068557976415166,0.026419001646442845,5,0.7550297446319362,0.05836914469333851,5,0.18872627278430018,0.031401694463897345
5,2017-06-01,1032.41184,585.04446,361.44108,469.64741,466.98294,451.49394,231.10542,343.68516,520.4472000000001,319.03873,349.22168,423.04957,184.39946,253.01202,5990.980909999999,6,0.35844186872983597,0.17232767980894803,6,-0.29663253249310756,0.09765420200612858,6,-0.32985088225468456,0.06033086825509515,6,-0.23612483413904065,0.07839240636138164,6,-0.006301787639019418,0.07794765949270903,6,-0.031010900340097205,0.07536227318741366,6,-0.5661572522370161,0.03857555606866389,6,0.16288865488000895,0.05736709316271215,6,-0.08612700137419702,0.08687178407316944,6,0.2988120731869512,0.05325317085679047,6,0.14168616054314725,0.0582912356500899,6,1.5132858526487614,0.0706144079500998,6,-0.5041579596029531,0.03077951052926991,6,0.26460560074709155,0.04223215259752848
6,2017-07-01,573.89415,557.88642,436.2813,462.69354,615.64346,369.37551,402.93162,343.4886,304.0674,278.74832,183.30757,286.54959,265.88891,164.70854,5245.464929999998,7,-0.4441228512063558,0.10940768028354736,7,-0.04642047204412451,0.10635595270293804,7,0.20706063627299914,0.08317304677890586,7,-0.014806575852297355,0.08820829920218343,7,0.31834250733013936,0.11736680508128003,7,-0.18188157741386293,0.0704180687373312,7,0.7434970586150683,0.07681523475555867,7,-0.0005719187875321028,0.06548296568251008,7,-0.415757448594209,0.05796767380160525,7,-0.12628689313049865,0.05314082235223334,7,-0.4750968210221084,0.034945914698928326,7,-0.32265717703010544,0.054628063255395765,7,0.441918051169998,0.05068929323677703,7,-0.3490090312705302,0.03140017943080597
7,2017-08-01,651.39113,521.83404,466.37136,338.83445,481.62449,350.27867,365.89644,229.0743,497.952,182.19803,254.65447,235.12075000000002,167.06728,164.93566,4907.23307,8,0.13503706214813307,0.13274102140822097,8,-0.06462315393875348,0.10633977081508376,8,0.0689694011638821,0.09503754016721279,8,-0.267691418384618,0.06904796351969482,8,-0.21768926124871046,0.0981458355716534,8,-0.05170034147634758,0.07138007610467949,8,-0.09191430545957159,0.07456267814889012,8,-0.3330948974725799,0.04668094967822671,8,0.6376369186568503,0.1014730690180974,8,-0.34637084090766895,0.03712846473786907,8,0.38921960506050024,0.05189369780636891,8,-0.1794762295768771,0.047913100243270085,8,-0.37166510630323013,0.03404510803070538,8,0.0013789206072739976,0.03361072475002701
8,2017-09-01,940.8323,700.63812,573.56208,719.0078,784.64143,462.57122,594.9216,369.89315999999997,381.017,432.8863,453.52083,385.71199,345.92812,285.92928,7431.061229999999,9,0.44434312453717334,0.12660806725717158,9,0.3426454893590307,0.09428506889049008,9,0.2298398426524306,0.07718441044254457,9,1.1220032378643907,0.09675708189528671,9,0.6291560049199326,0.10558941794643241,9,0.32058061086049006,0.06224833919178997,9,0.6259289103769363,0.08005876705715155,9,0.6147300679299248,0.04977662658823227,9,-0.23483187134502925,0.05127356486605077,9,1.3759109799375988,0.05825363115733606,9,0.7809262488107905,0.06103042566371103,9,0.6404846871235311,0.05190537099100179,9,1.0705916801901603,0.04655164441432008,9,0.7335807186875172,0.03847758363848121
9,2017-10-01,1212.23362,674.6103,510.1551,623.57564,629.6211,663.88357,439.42626,452.41560000000004,602.1652,425.46063,434.2928,326.01885,218.31263,336.45826999999997,7548.629570000001,10,0.28846939034724883,0.16058989366993137,10,-0.03714873521297971,0.08936857925590326,10,-0.11054946310258172,0.06758247908037167,10,-0.13272757263551238,0.08260779446354524,10,-0.19756837209067593,0.08340866301113248,10,0.4352029293997149,0.08794756238118065,10,-0.26137114537444933,0.05821272006065598,10,0.22309804268886746,0.05993347478567557,10,0.5804155720085982,0.0797714597618015,10,-0.01715385772199311,0.05636263192604905,10,-0.04239723674875086,0.05753266814495441,10,-0.1547609137066235,0.043189144066053294,10,-0.3689075348948214,0.028920829665244785,10,0.17671848787224576,0.04457209972750059
