,Fecha,ventas_20237,totales_ventas,edad_ventas_20237,diff_ventas_20237,fraccion_ventas_20237
0,2017-01-01,,0.0,,,
1,2017-02-01,,0.0,,,
2,2017-03-01,,0.0,,,
3,2017-04-01,,0.0,,,
4,2017-05-01,,0.0,,,
5,2017-06-01,,0.0,,,
6,2017-07-01,,0.0,,,
7,2017-08-01,,0.0,,,
8,2017-09-01,,0.0,,,
9,2017-10-01,,0.0,,,
10,2017-11-01,,0.0,,,
11,2017-12-01,,0.0,,,
12,2018-01-01,,0.0,,,
13,2018-02-01,,0.0,,,
14,2018-03-01,45.429809999999996,45.429809999999996,1.0,,1.0
15,2018-04-01,62.38251,62.38251,2.0,0.37316246755159244,1.0
16,2018-05-01,45.74169,45.74169,3.0,-0.2667545759220013,1.0
17,2018-06-01,57.28851,57.28851,4.0,0.25243536039005127,1.0
18,2018-07-01,55.51379,55.51379,5.0,-0.03097863777570759,1.0
19,2018-08-01,31.76676,31.76676,6.0,-0.42776812752290916,1.0
20,2018-09-01,45.01397,45.01397,7.0,0.4170148293373324,1.0
21,2018-10-01,15.60863,15.60863,8.0,-0.6532492024142728,1.0
22,2018-11-01,22.92285,22.92285,9.0,0.4686010239207413,1.0
23,2018-12-01,27.875700000000002,27.875700000000002,10.0,0.21606606508353024,1.0
24,2019-01-01,33.65283,33.65283,11.0,0.20724609606216163,1.0
25,2019-02-01,49.67732,49.67732,12.0,0.47617065191842706,1.0
26,2019-03-01,70.70657,70.70657,13.0,0.4233169180624075,1.0
27,2019-04-01,55.02366,55.02366,14.0,-0.22180272639444962,1.0
28,2019-05-01,80.04054,80.04054,15.0,0.4546567785567153,1.0
29,2019-06-01,54.62268,54.62268,16.0,-0.31756232529165834,1.0
30,2019-07-01,53.57572,53.57572,17.0,-0.019167129844233303,1.0
31,2019-08-01,57.39988,57.39988,18.0,0.07137860209811471,1.0
32,2019-09-01,46.42482,46.42482,19.0,-0.19120353561714773,1.0
33,2019-10-01,46.63276,46.63276,20.0,0.004479069601131478,1.0
34,2019-11-01,45.43723,45.43723,21.0,-0.025637127204137137,1.0
35,2019-12-01,29.51673,29.51673,22.0,-0.35038447546208257,1.0
