,Fecha,ventas_20781,ventas_20812,ventas_20846,ventas_20947,ventas_20970,totales_ventas,edad_ventas_20781,diff_ventas_20781,fraccion_ventas_20781,edad_ventas_20812,diff_ventas_20812,fraccion_ventas_20812,edad_ventas_20846,diff_ventas_20846,fraccion_ventas_20846,edad_ventas_20947,diff_ventas_20947,fraccion_ventas_20947,edad_ventas_20970,diff_ventas_20970,fraccion_ventas_20970
0,2017-01-01,2.10405,2.36851,1.43876,1.46763,1.1323699999999999,8.51132,1,,0.24720607379348916,1,,0.2782776349614396,1,,0.16904075983513722,1,,0.1724327131396775,1,,0.13304281827025655
1,2017-02-01,2.8182,3.43757,2.3226999999999998,1.23938,1.401,11.21885,2,0.33941683895344693,0.2512022176961097,2,0.4513639376654521,0.3064101935581633,2,0.6143762684533902,0.20703548046368386,2,-0.1555228497645865,0.11047299856937208,2,0.23722811448554817,0.12487910971267109
2,2017-03-01,3.82636,3.32071,3.00956,1.91421,2.07803,14.14887,3,0.3577318856007381,0.2704357309099596,3,-0.03399494410295644,0.23469789460218377,3,0.2957161923623371,0.21270673912474988,3,0.5444899869289485,0.1352906627879117,3,0.4832476802284083,0.14686897257519504
3,2017-04-01,4.26131,3.82089,3.62106,1.90336,1.64234,15.24896,4,0.11367200158897743,0.2794492214551025,4,0.15062441465831097,0.250567251799467,4,0.2031858477651218,0.23746275155813903,4,-0.005668134635175882,0.12481900405011226,4,-0.20966492302806028,0.10770177113717919
4,2017-05-01,5.33663,3.95413,3.90503,2.101,1.96671,17.2635,5,0.25234493618159687,0.3091279288672633,5,0.034871456650152254,0.22904567439974513,5,0.07842178809519866,0.22620152344541952,5,0.10383742434431745,0.12170185651808729,5,0.19750477976545663,0.11392301676948474
5,2017-06-01,5.8100000000000005,4.2118199999999995,3.8886499999999997,2.09441,1.78213,17.78701,6,0.08870204604778671,0.3266428702744307,6,0.06516983508382357,0.23679190600331365,6,-0.004194590054365852,0.2186230288283416,6,-0.0031366016182770564,0.11774941375756802,6,-0.0938521693589802,0.10019278113634614
6,2017-07-01,4.08521,3.21374,2.72189,1.21973,1.17496,12.41553,7,-0.29686574870912225,0.329040322885934,7,-0.23697119060168753,0.25884839390666364,7,-0.3000424311779151,0.21923268680434907,7,-0.41762596626257514,0.09824228204514829,7,-0.340699051135439,0.09463631435790498
7,2017-08-01,3.10323,2.95057,2.59953,1.28528,0.94566,10.88427,8,-0.24037442383622876,0.28511144982621706,8,-0.08188901404594028,0.27108570441563834,8,-0.04495405765846527,0.23883365627644296,8,0.05374140178564108,0.11808600852422807,8,-0.19515557976441755,0.08688318095747348
8,2017-09-01,3.20649,3.05428,2.11956,1.18151,1.32131,10.88315,9,0.03327500700882633,0.2946288528596959,9,0.03514914067451373,0.28064301236314854,9,-0.1846372228825981,0.19475611380896155,9,-0.08073727125606865,0.10856323766556558,9,0.39723579299113854,0.12140878330262837
9,2017-10-01,2.77973,2.38386,2.06611,1.20665,0.9751299999999999,9.41148,10,-0.1330925716281667,0.2953552469962216,10,-0.21950181384810824,0.25329278710680997,10,-0.025217497971276953,0.21953082830755632,10,0.02127785630252807,0.1282104408658362,10,-0.2619975630245741,0.1036106967235759
