,Fecha,ventas_21246,ventas_21256,ventas_21262,totales_ventas,edad_ventas_21246,diff_ventas_21246,fraccion_ventas_21246,edad_ventas_21256,diff_ventas_21256,fraccion_ventas_21256,edad_ventas_21262,diff_ventas_21262,fraccion_ventas_21262
0,2017-01-01,,,,0.0,,,,,,,,,
1,2017-02-01,,,,0.0,,,,,,,,,
2,2017-03-01,,,,0.0,,,,,,,,,
3,2017-04-01,,,,0.0,,,,,,,,,
4,2017-05-01,,,,0.0,,,,,,,,,
5,2017-06-01,,,,0.0,,,,,,,,,
6,2017-07-01,,,,0.0,,,,,,,,,
7,2017-08-01,,,,0.0,,,,,,,,,
8,2017-09-01,,,,0.0,,,,,,,,,
9,2017-10-01,,,,0.0,,,,,,,,,
10,2017-11-01,,,,0.0,,,,,,,,,
11,2017-12-01,,,,0.0,,,,,,,,,
12,2018-01-01,,,,0.0,,,,,,,,,
13,2018-02-01,,,,0.0,,,,,,,,,
14,2018-03-01,,,,0.0,,,,,,,,,
15,2018-04-01,,,,0.0,,,,,,,,,
16,2018-05-01,,,,0.0,,,,,,,,,
17,2018-06-01,,,,0.0,,,,,,,,,
18,2018-07-01,,,,0.0,,,,,,,,,
19,2018-08-01,,,,0.0,,,,,,,,,
20,2018-09-01,,,,0.0,,,,,,,,,
21,2018-10-01,0.5366299999999999,0.53663,0.4745,1.5477599999999998,1.0,,0.3467139608207991,1.0,,0.3467139608207992,1.0,,0.30657207835840183
22,2018-11-01,0.34879,0.35727,0.36572,1.07178,2.0,-0.3500363378864394,0.32543059209912484,2.0,-0.33423401598867014,0.33334266360633713,2.0,-0.2292518440463646,0.3412267442945381
23,2018-12-01,0.06212,0.05788,0.08895,0.20895,3.0,-0.821898563605608,0.29729600382866717,3.0,-0.8379936742519664,0.27700406795884186,3.0,-0.7567811440446243,0.42569992821249103
24,2019-01-01,0.03669,0.03811,0.0268,0.10160000000000001,4.0,-0.4093689632968448,0.36112204724409447,4.0,-0.3415687629578439,0.3750984251968503,4.0,-0.698707138842046,0.2637795275590551
25,2019-02-01,0.05786,0.05081,0.05786,0.16653,5.0,0.576996456800218,0.347444904821954,5.0,0.33324586722644983,0.305110190356092,5.0,1.158955223880597,0.347444904821954
26,2019-03-01,0.06212,0.0593,0.06353,0.18495,6.0,0.07362599377808503,0.33587456069207894,6.0,0.16709309191104108,0.3206271965396053,6.0,0.09799516073280334,0.34349824276831575
27,2019-04-01,0.01694,0.018349999999999998,0.014119999999999999,0.04941,7.0,-0.7273019961365099,0.3428455778182554,7.0,-0.6905564924114671,0.3713823112730216,7.0,-0.7777427986777901,0.2857721109087229
28,2019-05-01,0.01835,0.01553,0.011300000000000001,0.04518,8.0,0.0832349468713106,0.4061531651173086,8.0,-0.15367847411444133,0.34373616644532984,8.0,-0.1997167138810197,0.2501106684373617
29,2019-06-01,0.014110000000000001,0.00988,0.012700000000000001,0.03669,9.0,-0.23106267029972755,0.3845734532570183,9.0,-0.3638119768190599,0.26928318342872715,9.0,0.12389380530973453,0.3461433633142546
30,2019-07-01,0.03671,0.028220000000000002,0.03953,0.10446,10.0,1.601700921332388,0.35142638330461423,10.0,1.856275303643725,0.270151254068543,10.0,2.1125984251968504,0.37842236262684287
31,2019-08-01,0.02399,0.02965,0.022580000000000003,0.07622000000000001,11.0,-0.34649959139199127,0.314746785620572,11.0,0.05067328136073696,0.38900551036473363,11.0,-0.4287882620794333,0.2962477040146943
32,2019-09-01,0.06777,0.00423,0.01552,0.08752,12.0,1.8249270529387245,0.7743372943327239,12.0,-0.857335581787521,0.04833180987202925,12.0,-0.31266607617360503,0.1773308957952468
33,2019-10-01,0.01128,0.00847,0.01693,0.036680000000000004,13.0,-0.8335546702080566,0.3075245365321701,13.0,1.0023640661938533,0.2309160305343511,13.0,0.09085051546391751,0.4615594329334787
34,2019-11-01,0.0353,0.02682,0.02682,0.08893999999999999,14.0,2.129432624113475,0.39689678434899933,14.0,2.166469893742621,0.3015516078255004,14.0,0.5841701122268163,0.3015516078255004
35,2019-12-01,0.021169999999999998,0.012709999999999999,0.01834,0.05221999999999999,15.0,-0.4002832861189802,0.4054002297970127,15.0,-0.5260999254287845,0.2433933358866335,15.0,-0.31618195376584646,0.35120643431635395
