,Fecha,ventas_20212,ventas_20256,ventas_20290,ventas_20330,ventas_20335,ventas_20401,ventas_20434,ventas_20469,ventas_20879,ventas_20343,ventas_20417,ventas_20368,ventas_20571,ventas_20662,ventas_20673,ventas_20815,ventas_20703,totales_ventas,edad_ventas_20212,diff_ventas_20212,fraccion_ventas_20212,edad_ventas_20256,diff_ventas_20256,fraccion_ventas_20256,edad_ventas_20290,diff_ventas_20290,fraccion_ventas_20290,edad_ventas_20330,diff_ventas_20330,fraccion_ventas_20330,edad_ventas_20335,diff_ventas_20335,fraccion_ventas_20335,edad_ventas_20401,diff_ventas_20401,fraccion_ventas_20401,edad_ventas_20434,diff_ventas_20434,fraccion_ventas_20434,edad_ventas_20469,diff_ventas_20469,fraccion_ventas_20469,edad_ventas_20879,diff_ventas_20879,fraccion_ventas_20879,edad_ventas_20343,diff_ventas_20343,fraccion_ventas_20343,edad_ventas_20417,diff_ventas_20417,fraccion_ventas_20417,edad_ventas_20368,diff_ventas_20368,fraccion_ventas_20368,edad_ventas_20571,diff_ventas_20571,fraccion_ventas_20571,edad_ventas_20662,diff_ventas_20662,fraccion_ventas_20662,edad_ventas_20673,diff_ventas_20673,fraccion_ventas_20673,edad_ventas_20815,diff_ventas_20815,fraccion_ventas_20815,edad_ventas_20703,diff_ventas_20703,fraccion_ventas_20703
0,2017-01-01,37.3922,33.57073,16.59223,21.61073,25.41893,17.30374,15.88754,15.83519,2.09839,,,,,,,,,185.70968,1,,0.20134760880531377,1,,0.1807699523255869,1,,0.08934499267889537,1,,0.11636835516597735,1,,0.13687455602745102,1,,0.09317629538751024,1,,0.08555041395795847,1,,0.08526852235166202,1,,0.01129930329964491,,,,,,,,,,,,,,,,,,,,,,,,
1,2017-02-01,30.3005,26.24028,17.22779,18.01086,12.34864,12.8086,17.56768,8.98379,1.52478,,,,,,,,,145.01292,2,-0.18965720123448213,0.20895034732077664,2,-0.21835837349977197,0.18095132488884436,2,0.03830467634549413,0.11880175918118191,2,-0.1665778990344148,0.12420176078103937,2,-0.5141951293779872,0.0851554468388058,2,-0.2597785218686828,0.08832730214659494,2,0.1057520547548582,0.12114561930068023,2,-0.4326692638357986,0.06195165230794608,2,-0.27335719289550564,0.010514787234130586,,,,,,,,,,,,,,,,,,,,,,,,
2,2017-03-01,38.48628,39.4253,28.28081,26.99897,22.85673,17.91791,19.699460000000002,15.28377,2.95351,,,,,,,,,211.90274000000002,3,0.2701532978003664,0.18162238015421603,3,0.5024725345918566,0.18605375277356015,3,0.6415808411874071,0.13346127567770005,3,0.49903835796847007,0.1274120853746393,3,0.8509511978647041,0.10786424941933265,3,0.3988968349390252,0.08455723602252617,3,0.12134670030419513,0.09296463084903951,3,0.7012608264440731,0.07212634437855782,3,0.9370073059720091,0.013938045350428219,,,,,,,,,,,,,,,,,,,,,,,,
3,2017-04-01,37.65175,23.51159,22.80627,15.95021,18.71352,14.14484,12.7545,13.02163,1.34955,,,,,,,,,159.90386,4,-0.021683831225049573,0.23546492248529835,4,-0.4036420775491879,0.14703578762889152,4,-0.19357790671483588,0.1426248872291138,4,-0.4092289446597407,0.09974874902957315,4,-0.18126871166610448,0.11702982029326871,4,-0.2105753405391588,0.08845840244256767,4,-0.3525457042984935,0.07976355292486373,4,-0.14800929351854944,0.08143411922639016,4,-0.5430690940609647,0.008439758740032917,,,,,,,,,,,,,,,,,,,,,,,,
4,2017-05-01,34.82368,28.46291,22.97496,22.66153,14.5135,21.070240000000002,16.46927,3.0,2.00876,,,,,,,,,165.98485000000002,5,-0.07511124980910573,0.20980035226106478,5,0.21059060659019652,0.17147896329092682,5,0.007396650131739999,0.13841600603910537,5,0.42076687391576656,0.1365277011727275,5,-0.22443773271944556,0.08743870299006204,5,0.4896061037099042,0.12694074188096083,5,0.29125171508095193,0.09922152533800524,5,-0.7696140959311546,0.018073938675728537,5,0.48846652587899675,0.012102068351418818,,,,,,,,,,,,,,,,,,,,,,,,
5,2017-06-01,40.12936,26.90149,19.07866,16.24859,16.67838,13.86166,13.232470000000001,11.12434,2.05037,,,,,,,,,159.30532,6,0.1523583952069395,0.2519021963610506,6,-0.05485805913731245,0.16886749293746123,6,-0.16958897860975602,0.11976159992648079,6,-0.2829879535936011,0.10199653093820094,6,0.14916319288937885,0.10469443205035464,6,-0.3421213996613233,0.0870131644065622,6,-0.19653572987752344,0.0830635787932255,6,2.7081133333333334,0.06983031075170622,6,0.02071427149086995,0.01287069383495793,,,,,,,,,,,,,,,,,,,,,,,,
6,2017-07-01,35.09151,32.68729,18.61587,15.64326,10.597290000000001,14.80009,12.76971,12.733799999999999,0.99791,10.84224,9.91289,,,,,,,174.69186,7,-0.1255402528223724,0.2008766178343971,7,0.2150735888606913,0.18711398458977996,7,-0.02425694467011825,0.10656403795803653,7,-0.037254309450850835,0.0895477327907551,7,-0.3646091526874912,0.060662757841149564,7,0.06769968387624573,0.08472111980489533,7,-0.03497155104073549,0.07309848323785664,7,0.14467914500995102,0.07289292128436894,7,-0.5133024771138868,0.005712401253269614,1.0,,0.06206494109113041,1.0,,0.056745002314360846,,,,,,,,,,,,,,,,,,
7,2017-08-01,30.73722,27.56316,11.35136,20.59246,11.10852,16.62276,14.53411,14.343259999999999,1.79983,17.54976,14.62409,,,,,,,180.82653,8,-0.12408385960022805,0.16998180521409112,8,-0.1567621543419475,0.15242873930058826,8,-0.3902320976672055,0.06277485941913502,8,0.3163790667674129,0.11387963923214144,8,0.048241578743244674,0.061431914885498276,8,0.12315262947725308,0.09192655524606926,8,0.13817071805076234,0.08037598244018729,8,0.1263927500039266,0.0793205510275511,8,0.8035995230030766,0.009953351424705215,2.0,0.6186470692403044,0.09705301539547322,2.0,0.4752599897708942,0.08087358641455986,,,,,,,,,,,,,,,,,,
8,2017-09-01,22.2917,21.91548,22.39113,18.291900000000002,10.73517,11.38166,17.264969999999998,6.90809,0.79808,10.25726,10.17979,,,,,,,152.41523,9,-0.2747652520299494,0.14625638133407007,9,-0.20489958335691558,0.14378799284034802,9,0.9725504256758662,0.14690874396213555,9,-0.11171856106555493,0.12001359706638241,9,-0.033609337697551096,0.0704337092822023,9,-0.31529661740890197,0.07467534576433077,9,0.18789316992922153,0.11327588456875338,9,-0.5183737867123652,0.04532414510019766,9,-0.5565803436991271,0.005236222128195456,3.0,-0.4155327480261838,0.06729813024590783,3.0,-0.30390267018323874,0.06678984770747648,,,,,,,,,,,,,,,,,,
9,2017-10-01,38.31331,37.21916,13.40089,17.70624,13.37844,17.19351,12.884360000000001,8.35009,3.17792,19.98497,19.107310000000002,,,,,,,200.71620000000001,10,0.7187253551770392,0.1908829979842185,10,0.6983045774037349,0.185431768835799,10,-0.4015089903903912,0.06676536323425812,10,-0.032017450346874886,0.0882153010070936,10,0.24622525772763723,0.06665351376719965,10,0.5106328953773,0.08566079867992718,10,-0.2537282138341392,0.06419192870331343,10,0.20874076626100707,0.041601475117603856,10,2.981956696070569,0.015832902376589433,4.0,0.9483731522843332,0.09956829593226654,4.0,0.8769846922186019,0.09519565436173065,,,,,,,,,,,,,,,,,,
