,Fecha,ventas_20042,ventas_20063,ventas_20070,ventas_20073,ventas_20103,ventas_20124,ventas_20144,ventas_20183,ventas_20202,ventas_20112,ventas_20408,ventas_20477,totales_ventas,edad_ventas_20042,diff_ventas_20042,fraccion_ventas_20042,edad_ventas_20063,diff_ventas_20063,fraccion_ventas_20063,edad_ventas_20070,diff_ventas_20070,fraccion_ventas_20070,edad_ventas_20073,diff_ventas_20073,fraccion_ventas_20073,edad_ventas_20103,diff_ventas_20103,fraccion_ventas_20103,edad_ventas_20124,diff_ventas_20124,fraccion_ventas_20124,edad_ventas_20144,diff_ventas_20144,fraccion_ventas_20144,edad_ventas_20183,diff_ventas_20183,fraccion_ventas_20183,edad_ventas_20202,diff_ventas_20202,fraccion_ventas_20202,edad_ventas_20112,diff_ventas_20112,fraccion_ventas_20112,edad_ventas_20408,diff_ventas_20408,fraccion_ventas_20408,edad_ventas_20477,diff_ventas_20477,fraccion_ventas_20477
0,2017-01-01,158.67551,113.57203,115.12294,95.83056,86.76077,77.06339,57.25477,71.79628,,,,,776.0762500000001,1,,0.20445865982885056,1,,0.14634132921861737,1,,0.14833972821613856,1,,0.1234808564235795,1,,0.11179413105348861,1,,0.09929873514361506,1,,0.07377467098110527,1,,0.092511889134605,,,,,,,,,,,,
1,2017-02-01,180.26244,152.31394,96.88921,43.08168,77.83871,96.93406,60.25297,45.85384,,,,,753.4268500000001,2,0.13604449735185975,0.23925672412656912,2,0.34112192940462543,0.2021615502553433,2,-0.15838485361822757,0.1285980317797275,2,-0.5504390248789113,0.05718097251246089,2,-0.1028351869168518,0.10331289626856277,2,0.2578483765118561,0.1286575597883192,2,0.05236594261054576,0.07997189109997871,2,-0.36133404126230495,0.06086037416903843,,,,,,,,,,,,
2,2017-03-01,210.60938,155.82909,162.23202,137.62025,123.18003,96.81677,73.25877,68.59114,,,,,1028.13745,3,0.1683486587666293,0.20484554861803742,3,0.02307832099937803,0.15156445278790304,3,0.67440750110358,0.15779215123425377,3,2.194403050206027,0.13385394141610152,3,0.58250348701822,0.11980891270909352,3,-0.0012099978067564383,0.09416714662032787,3,0.2158532600135728,0.07125386785589806,3,0.49586468657804883,0.06671397875838488,,,,,,,,,,,,
3,2017-04-01,191.64172,155.22934,117.09762,110.70608,100.87979,97.91265,58.10241,77.07773999999999,,,,,908.64735,4,-0.09006085104091753,0.2109087975659644,4,-0.003848767903348471,0.17083562726507706,4,-0.2782089503662717,0.12887025973277752,4,-0.1955683847398911,0.1218361336771631,4,-0.18103778672565676,0.11102193826901052,4,0.011319113413926057,0.10775649100831032,4,-0.20688799443397698,0.0639438501636526,4,0.12372735020878785,0.0848269023180445,,,,,,,,,,,,
4,2017-05-01,199.00958,160.47445,117.99011,88.5544,75.21959,82.63238,58.17161,47.32702,,,,,829.37914,5,0.03844601269493932,0.23995006674510766,5,0.03378942408696695,0.19348744411391874,5,0.007621760373951196,0.14226317531931174,5,-0.20009452055388466,0.10677191615887519,5,-0.254364129822237,0.0906938532358072,5,-0.15606022306617176,0.0996316111832762,5,0.0011910005109943315,0.07013874257797224,5,-0.38598329426887706,0.05706319066573099,,,,,,,,,,,,
5,2017-06-01,209.44453000000001,165.78853,107.87573,92.49618,89.62804,97.24412,57.68908,60.73335,,,,,880.8995600000001,6,0.052434410443959606,0.23776210082339014,6,0.03311480425700178,0.18820366989398882,6,-0.08572226943427713,0.12246087397296464,6,0.04451252563396053,0.10500195958776502,6,0.19155182845319954,0.10174603787973284,6,0.17682826030183324,0.11039183627245766,6,-0.008294939748100562,0.0654888282609654,6,0.28327010659027346,0.06894469330873544,,,,,,,,,,,,
6,2017-07-01,164.68571,135.11755,109.56414,61.14958,91.13739,77.78705000000001,59.60854,91.25107,,,,,790.30103,7,-0.21370250156449544,0.20838351937868538,7,-0.1850006149400083,0.1709697252956889,7,0.015651435220878602,0.13863595749078045,7,-0.33889615765753783,0.0773750478346207,7,0.016840154041079084,0.11531984211130283,7,-0.2000847969008305,0.09842711453887389,7,0.0332725014855498,0.0754251073163855,7,0.5024870190760101,0.11546368603366239,,,,,,,,,,,,
7,2017-08-01,198.18943000000002,175.29997,117.83514,68.54187,90.14844,92.13692,63.33395,46.11236,,,,,851.5980800000001,8,0.2034403592151378,0.23272648759377193,8,0.2973886071794523,0.205848244749448,8,0.07549002803289472,0.13836942892121126,8,0.12088864715015218,0.08048617253810623,8,-0.0108511994912297,0.10585796529743231,8,0.18447633635675853,0.10819296351631041,8,0.06249792395519172,0.07437070548585548,8,-0.49466499406527503,0.0541480318978643,,,,,,,,,,,,
8,2017-09-01,168.42821,134.12504,89.02171,65.04601,77.09098,101.79995,43.43564,54.52995,,,,,733.47749,9,-0.15016552598188515,0.22962969183962278,9,-0.2348826984967538,0.18286183533730532,9,-0.2445232381444109,0.1213693824468969,9,-0.05100327726687363,0.08868167174428215,9,-0.14484399286332622,0.10510340269610728,9,0.10487685066963376,0.13879083051342175,9,-0.31418078297658686,0.05921877711611845,9,0.18254520046252234,0.07434440830624536,,,,,,,,,,,,
9,2017-10-01,101.66561999999999,61.726729999999996,93.42926,103.46853,73.17612,93.69766,54.5083,60.44207,17.989639999999998,,,,660.10393,10,-0.39638603295730573,0.15401456555485132,10,-0.5397822062159311,0.09351062339531897,10,0.04951095637232761,0.14153719702895876,10,0.5906975693051735,0.15674581728365108,10,-0.05078233536530479,0.11085545271636241,10,-0.07959031414062577,0.14194379966803106,10,0.25492107403045056,0.08257533022110625,10,0.10841968496211718,0.09156447530921381,1.0,,0.027252738822506326,,,,,,,,,
