,Fecha,ventas_20007,ventas_20012,ventas_20014,ventas_20051,ventas_20074,ventas_20087,ventas_20358,ventas_20426,ventas_20520,ventas_20530,ventas_20733,ventas_20049,totales_ventas,edad_ventas_20007,diff_ventas_20007,fraccion_ventas_20007,edad_ventas_20012,diff_ventas_20012,fraccion_ventas_20012,edad_ventas_20014,diff_ventas_20014,fraccion_ventas_20014,edad_ventas_20051,diff_ventas_20051,fraccion_ventas_20051,edad_ventas_20074,diff_ventas_20074,fraccion_ventas_20074,edad_ventas_20087,diff_ventas_20087,fraccion_ventas_20087,edad_ventas_20358,diff_ventas_20358,fraccion_ventas_20358,edad_ventas_20426,diff_ventas_20426,fraccion_ventas_20426,edad_ventas_20520,diff_ventas_20520,fraccion_ventas_20520,edad_ventas_20530,diff_ventas_20530,fraccion_ventas_20530,edad_ventas_20733,diff_ventas_20733,fraccion_ventas_20733,edad_ventas_20049,diff_ventas_20049,fraccion_ventas_20049
0,2017-01-01,464.67137,476.39728,248.65917,124.07345000000001,96.22687,102.92085,17.572,9.33078,6.4209000000000005,6.18264,3.57429,,1556.0296,1,,0.29862630505229465,1,,0.3061620935745695,1,,0.15980362455829888,1,,0.07973720422799155,1,,0.06184128502439799,1,,0.06614324688939079,1,,0.011292844300648265,1,,0.005996531171386457,1,,0.0041264639181671095,1,,0.003973343437682676,1,,0.0022970578451720967,,,
1,2017-02-01,638.62996,509.04048,272.35644,117.02905,98.01716,95.77934,14.45783,14.53791,8.55056,7.9885600000000005,4.15218,,1780.53947,2,0.3743690729213637,0.35867217254105577,2,0.06852096216838177,0.28589115185410635,2,0.09530020549815248,0.15296287703186948,2,-0.056776046769071144,0.06572673730170105,2,0.018604886556114718,0.05504913631597282,2,-0.06938836980067689,0.053792314977437715,2,-0.17722342362849988,0.008119915477077293,2,0.558059454836573,0.008164890610372148,2,0.33167624476319524,0.00480222996685381,2,0.2920952861560758,0.004486595290134176,2,0.16167966225460173,0.002331978633419455,,,
2,2017-03-01,840.83303,649.49079,410.33466,216.9338,167.52624,158.7013,29.429380000000002,10.60712,11.85735,6.97123,4.17357,,2506.85847,3,0.31662008152577126,0.3354130438803751,3,0.275911868541378,0.2590855438280885,3,0.5066089863709481,0.1636848130481016,3,0.8536747927117241,0.08653611785271627,3,0.7091521525414529,0.06682716316250593,3,0.6569471036238086,0.06330684476176271,3,1.035532303257128,0.011739545870732782,3,-0.27038205629282336,0.004231240066775688,3,0.3867337343986826,0.004729963873867997,3,-0.12734835815215761,0.0027808630137783567,3,0.005151510772654209,0.0016648606412949989,,,
3,2017-04-01,741.17156,749.91517,603.43722,171.77829,143.32853,149.3803,24.399630000000002,10.47464,9.86687,9.79454,4.1201,,2617.6668499999996,4,-0.1185270635717058,0.2831420507158885,4,0.1546201755994108,0.2864822809671139,4,0.4705977311300002,0.23052483550379993,4,-0.20815340901233462,0.06562267081466078,4,-0.14444131259676096,0.054754305346381274,4,-0.058732978242774306,0.05706620000173056,4,-0.17090913909841116,0.009321136492216343,4,-0.012489723883580016,0.0040015176109977485,4,-0.1678688745799019,0.003769337568682585,4,0.40499452750805803,0.0037417060922019167,4,-0.012811573784553729,0.0015739588863265775,,,
4,2017-05-01,858.04498,718.24425,410.7887,217.16727,178.47224,156.5414,31.63391,20.744320000000002,14.24381,14.67681,6.31387,,2626.8715599999996,5,0.1576874050590932,0.32664139087180954,5,-0.042232670129876186,0.2734219140885594,5,-0.31925196791805455,0.1563794386658174,5,0.26423001416535236,0.0826714458776203,5,0.24519689136559203,0.06794098452228857,5,0.047938717488182875,0.05959233119109943,5,0.2964913812217643,0.012042427380804261,5,0.9804327404092169,0.007896967752774332,5,0.44359964203440394,0.005422347333951875,5,0.49846853451004336,0.005587182191732283,5,0.5324555229242008,0.0024035701235426985,,,
5,2017-06-01,850.75738,872.83606,564.42105,179.26043,141.71339,167.46795,16.38414,11.35963,8.90372,8.35604,4.10935,,2825.5691400000005,6,-0.00849326104093051,0.30109239514132,6,0.2152357084654698,0.3089062828595303,6,0.37399361277464555,0.19975481824521907,6,-0.17455134928942095,0.0634422380476593,6,-0.20596396391954286,0.05015392757297738,6,0.06979974626520519,0.05926874965798925,6,-0.48207034792727177,0.005798527372081929,6,-0.45239805402153466,0.004020298013305736,6,-0.37490601180442595,0.0031511244492145036,6,-0.4306637477762538,0.0029572944727163882,6,-0.3491551140584142,0.0014543441679859227,,,
6,2017-07-01,767.23749,699.41399,667.8803800000001,183.25919,134.81494,122.71111,19.39126,10.57095,10.03811,6.70638,2.31151,,2624.33531,7,-0.09817122009567526,0.2923549773066156,7,-0.1986880216658326,0.26651090938527977,7,0.18330168586022796,0.25449506298034763,7,0.022306986544660054,0.06983070696099425,7,-0.04867888630707371,0.05137108032128715,7,-0.26725615259516816,0.04675892959730059,7,0.1835384707406065,0.007389017678537427,7,-0.06942831764766981,0.004028048534697344,7,0.12740629759246694,0.00382501045569516,7,-0.197421266532951,0.002555458509606381,7,-0.4374998479078199,0.0008807982696387986,,,
7,2017-08-01,874.86774,643.97083,483.52381,205.19987,172.11885,166.29059,22.60176,13.16538,10.0702,8.83144,2.472,3.27567,2606.38814,8,0.1402828347191429,0.33566287636652614,8,-0.07927087646616854,0.24707403326351846,8,-0.27603231884128715,0.1855148903493706,8,0.11972485527192396,0.07872959013694714,8,0.2767045699831191,0.06603730555649322,8,0.3551388297278054,0.06380116124991268,8,0.16556427999005738,0.008671678501422277,8,0.24543016474394458,0.0050511970178010405,8,0.0031968169306772066,0.0038636609204337462,8,0.3168713970875495,0.003388382514662609,8,0.06943080497164182,0.0009484389381851623,1.0,,0.0012567851847269378
8,2017-09-01,912.1132,731.15982,531.66431,222.88855,159.04203,164.67552,23.8217,10.88999,11.88944,9.33715,3.58495,292.1833,3073.24996,9,0.04257267504228694,0.29679108821984657,9,0.13539276305418987,0.23791095079034832,9,0.09956179820803442,0.17299741866750076,9,0.08620219886104219,0.07252535683755447,9,-0.07597552505143973,0.051750437507530306,9,-0.009712335496554573,0.053583510011662054,9,0.05397544262039776,0.007751305721972579,9,-0.17283131971883844,0.003543476821520889,9,0.18065579630990453,0.0038686862945570494,9,0.05726246229380472,0.0030382006415124135,9,0.4502224919093852,0.0011665012760628166,2.0,88.19802666324752,0.09507306720993172
9,2017-10-01,912.87207,715.90506,521.43731,242.27006,154.03118,135.08745,24.03575,14.83294,13.06667,10.82407,3.14624,124.63763,2872.1464300000007,10,0.0008319910291836602,0.31783618706376326,10,-0.02086378324235585,0.24925785556135446,10,-0.01923582194185646,0.18154969557036127,10,0.08695605942970148,0.08435156977703255,10,-0.03150645147072132,0.05362929215276812,10,-0.1796749753697454,0.04703362216807308,10,0.008985504812838727,0.008368567058052119,10,0.3620710395510007,0.0051644093925949305,10,0.09901475595149979,0.004549444228719215,10,0.15924773619359242,0.003768634456426373,10,-0.12237548640845756,0.0010954316141882777,3.0,-0.5734265784526357,0.04339529095666615
