,Fecha,ventas_21157,ventas_21265,ventas_21266,totales_ventas,edad_ventas_21157,diff_ventas_21157,fraccion_ventas_21157,edad_ventas_21265,diff_ventas_21265,fraccion_ventas_21265,edad_ventas_21266,diff_ventas_21266,fraccion_ventas_21266
0,2017-01-01,,,,0.0,,,,,,,,,
1,2017-02-01,,,,0.0,,,,,,,,,
2,2017-03-01,,,,0.0,,,,,,,,,
3,2017-04-01,,,,0.0,,,,,,,,,
4,2017-05-01,,,,0.0,,,,,,,,,
5,2017-06-01,,,,0.0,,,,,,,,,
6,2017-07-01,,,,0.0,,,,,,,,,
7,2017-08-01,,,,0.0,,,,,,,,,
8,2017-09-01,,,,0.0,,,,,,,,,
9,2017-10-01,,,,0.0,,,,,,,,,
10,2017-11-01,,,,0.0,,,,,,,,,
11,2017-12-01,,,,0.0,,,,,,,,,
12,2018-01-01,,,,0.0,,,,,,,,,
13,2018-02-01,,,,0.0,,,,,,,,,
14,2018-03-01,0.62212,,,0.62212,1.0,,1.0,,,,,,
15,2018-04-01,0.99558,,,0.99558,2.0,0.600302192503054,1.0,,,,,,
16,2018-05-01,0.81506,,,0.81506,3.0,-0.18132144076819542,1.0,,,,,,
17,2018-06-01,0.6841200000000001,,,0.6841200000000001,4.0,-0.1606507496380634,1.0,,,,,,
18,2018-07-01,0.99779,,,0.99779,5.0,0.4585014324972225,1.0,,,,,,
19,2018-08-01,0.38704,,,0.38704,6.0,-0.6121027470710269,1.0,,,,,,
20,2018-09-01,0.19957,,,0.19957,7.0,-0.4843685407193055,1.0,,,,,,
21,2018-10-01,0.29519,,,0.29519,8.0,0.47913012977902497,1.0,,,,,,
22,2018-11-01,0.18565,,,0.18565,9.0,-0.37108303126799685,1.0,,,,,,
23,2018-12-01,0.1884,,,0.1884,10.0,0.014812819822246175,1.0,,,,,,
24,2019-01-01,0.33694,,,0.33694,11.0,0.7884288747346072,1.0,,,,,,
25,2019-02-01,0.27290000000000003,,,0.27290000000000003,12.0,-0.1900635127915949,1.0,,,,,,
26,2019-03-01,0.38803,0.01593,0.017070000000000002,0.42103,13.0,0.421876145108098,0.9216207871173074,1.0,,0.03783578367337244,1.0,,0.040543429209320005
27,2019-04-01,0.24229,0.36405,0.36178,0.96812,14.0,-0.3755895162745148,0.25026856174854356,2.0,21.853107344632768,0.3760380944511011,2.0,20.19390743995313,0.37369334380035535
28,2019-05-01,0.25246,0.17635,0.17634,0.6051500000000001,15.0,0.04197449337570685,0.4171858216970999,3.0,-0.5155885180607059,0.29141535156572745,3.0,-0.5125767040742993,0.29139882673717254
29,2019-06-01,0.21721000000000001,0.05121,0.05235,0.32077,16.0,-0.13962607937891153,0.6771518533528696,4.0,-0.7096115679047349,0.1596470991676279,4.0,-0.7031303164341612,0.16320104747950245
30,2019-07-01,0.28682,0.02959,0.05916,0.37557,17.0,0.3204732747111091,0.7636925207018666,5.0,-0.4221831673501269,0.0787869105626115,5.0,0.13008595988538676,0.157520568735522
31,2019-08-01,0.19584000000000001,0.01593,0.0148,0.22657000000000002,18.0,-0.3172024266090231,0.8643686277971487,6.0,-0.46164244677255833,0.07030939665445557,6.0,-0.7498309668695065,0.06532197554839564
32,2019-09-01,0.16706,0.017070000000000002,0.02844,0.21256999999999998,19.0,-0.14695669934640537,0.7859058192595381,7.0,0.07156308851224119,0.08030295902526229,7.0,0.9216216216216215,0.13379122171519972
33,2019-10-01,0.23206000000000002,0.10920999999999999,0.11831,0.45958,20.0,0.38908176702980984,0.5049392923974064,8.0,5.397773872290567,0.23763001000913875,8.0,3.1599859353023914,0.2574306975934549
34,2019-11-01,0.12254,0.066,0.06713,0.25566999999999995,21.0,-0.47194691028182373,0.4792897093910119,9.0,-0.39565973811921973,0.25814526538115545,9.0,-0.4325923421519737,0.26256502522783276
35,2019-12-01,0.16893,0.050069999999999996,0.05121,0.27021,22.0,0.37857026277134,0.6251804152325968,10.0,-0.24136363636363645,0.1853003219717997,10.0,-0.23715179502457914,0.1895192627956034
