,Fecha,ventas_20775,totales_ventas,edad_ventas_20775,diff_ventas_20775,fraccion_ventas_20775
0,2017-01-01,,0.0,,,
1,2017-02-01,,0.0,,,
2,2017-03-01,,0.0,,,
3,2017-04-01,,0.0,,,
4,2017-05-01,,0.0,,,
5,2017-06-01,,0.0,,,
6,2017-07-01,,0.0,,,
7,2017-08-01,,0.0,,,
8,2017-09-01,0.59755,0.59755,1.0,,1.0
9,2017-10-01,9.85938,9.85938,2.0,15.499673667475523,1.0
10,2017-11-01,10.30757,10.30757,3.0,0.04545823368203683,1.0
11,2017-12-01,8.62105,8.62105,4.0,-0.16361955339619327,1.0
12,2018-01-01,2.73998,2.73998,5.0,-0.6821756050597085,1.0
13,2018-02-01,2.83046,2.83046,6.0,0.033022138847728776,1.0
14,2018-03-01,6.74583,6.74583,7.0,1.383298121153452,1.0
15,2018-04-01,4.11202,4.11202,8.0,-0.39043527631143976,1.0
16,2018-05-01,4.18277,4.18277,9.0,0.017205655614515352,1.0
17,2018-06-01,3.99793,3.99793,10.0,-0.04419081135228556,1.0
18,2018-07-01,3.27465,3.27465,11.0,-0.18091362279979897,1.0
19,2018-08-01,1.66284,1.66284,12.0,-0.4922083276075305,1.0
20,2018-09-01,2.97588,2.97588,13.0,0.7896370065670779,1.0
21,2018-10-01,2.29185,2.29185,14.0,-0.22985805879269322,1.0
22,2018-11-01,2.9837700000000003,2.9837700000000003,15.0,0.3019045749067348,1.0
23,2018-12-01,2.3193799999999998,2.3193799999999998,16.0,-0.22266796703499278,1.0
24,2019-01-01,1.49777,1.49777,17.0,-0.354236908139244,1.0
25,2019-02-01,1.52916,1.52916,18.0,0.02095782396496126,1.0
26,2019-03-01,2.7164,2.7164,19.0,0.7764001150958696,1.0
27,2019-04-01,1.57243,1.57243,20.0,-0.421134589898395,1.0
28,2019-05-01,2.65747,2.65747,21.0,0.6900402561640264,1.0
29,2019-06-01,3.27855,3.27855,22.0,0.23371101084866436,1.0
30,2019-07-01,2.59064,2.59064,23.0,-0.20982141495478185,1.0
31,2019-08-01,2.68889,2.68889,24.0,0.03792499150788983,1.0
32,2019-09-01,3.84076,3.84076,25.0,0.42838122794164146,1.0
33,2019-10-01,2.10708,2.10708,26.0,-0.45138982909632475,1.0
34,2019-11-01,1.61965,1.61965,27.0,-0.23132961254437412,1.0
35,2019-12-01,2.19749,2.19749,28.0,0.356768437625413,1.0
