,Fecha,ventas_20680,ventas_20696,ventas_20826,ventas_20830,ventas_20809,ventas_21252,ventas_20933,ventas_21039,totales_ventas,edad_ventas_20680,diff_ventas_20680,fraccion_ventas_20680,edad_ventas_20696,diff_ventas_20696,fraccion_ventas_20696,edad_ventas_20826,diff_ventas_20826,fraccion_ventas_20826,edad_ventas_20830,diff_ventas_20830,fraccion_ventas_20830,edad_ventas_20809,diff_ventas_20809,fraccion_ventas_20809,edad_ventas_21252,diff_ventas_21252,fraccion_ventas_21252,edad_ventas_20933,diff_ventas_20933,fraccion_ventas_20933,edad_ventas_21039,diff_ventas_21039,fraccion_ventas_21039
0,2017-01-01,6.8901200000000005,9.74942,0.03333,4.22235,,,,,20.895220000000002,1,,0.3297462290418574,1,,0.4665861378822525,1,,0.0015951016548282333,1,,0.20207253142106182,,,,,,,,,,,,
1,2017-02-01,5.49503,4.0929,3.57573,4.14316,,,,,17.306820000000002,2,-0.20247687993823046,0.3175066245560998,2,-0.5801904113270328,0.23649058579219057,2,106.2826282628263,0.20660814638391106,2,-0.018754958731511992,0.23939464326779844,,,,,,,,,,,,
2,2017-03-01,4.33748,6.21132,2.69797,4.10814,,,,,17.35491,3,-0.21065399097002194,0.24992811832501582,3,0.5175841090669207,0.3578998681064897,3,-0.24547714732376322,0.15545859932434108,3,-0.008452485542436274,0.23671341424415338,,,,,,,,,,,,
3,2017-04-01,1.721,0.6159,3.8273,2.10536,,,,,8.26956,4,-0.6032258361998211,0.20811264444541186,4,-0.9008423330306602,0.0744779649703249,4,0.4185850843411898,0.46281785246131596,4,-0.48751503113331085,0.2545915381229473,,,,,,,,,,,,
4,2017-05-01,4.7305399999999995,4.08414,2.63555,2.5312799999999998,,,,,13.981509999999998,5,1.7487158628704238,0.3383425681489339,5,5.631173891865562,0.29211007966950636,5,-0.3113813915815327,0.18850252941205922,5,0.20230269407607232,0.18104482276950057,,,,,,,,,,,,
5,2017-06-01,4.6825,3.94869,3.25492,3.04007,,,,,14.92618,6,-0.010155288825377107,0.3137105408081639,6,-0.03316487681617174,0.2645479285389832,6,0.2350059759822428,0.2180678512519613,6,0.20100107455516592,0.2036736794008916,,,,,,,,,,,,
6,2017-07-01,5.04071,2.86546,1.05381,2.35214,,,,,11.31212,7,0.0764997330485851,0.44560259261747576,7,-0.2743264221805206,0.253308840429557,7,-0.6762408907131359,0.09315760441013708,7,-0.22628755258924962,0.20793096254283017,,,,,,,,,,,,
7,2017-08-01,4.27631,3.14939,4.17947,2.86318,,,,,14.46835,8,-0.15164530393535836,0.29556307388195613,8,0.09908705757539794,0.21767444110765913,8,2.966056499748532,0.28886984348595385,8,0.21726597906587192,0.19789264152443092,,,,,,,,,,,,
8,2017-09-01,6.7617199999999995,5.12808,2.69126,2.91559,,,,,17.49665,9,0.5812043560920513,0.38645797909885604,9,0.6282772219382166,0.2930892485132868,9,-0.35607624890237277,0.15381573043982708,9,0.018304821911301446,0.16663704194803006,,,,,,,,,,,,
9,2017-10-01,6.1021399999999995,5.26349,2.8984900000000002,2.09879,6.3904,,,,22.75331,10,-0.09754618647326421,0.26818691434345154,10,0.026405594296500884,0.23132854077055162,10,0.0770011072880361,0.12738761964742715,10,-0.28014912933574326,0.09224108492346829,1.0,,0.2808558403151014,,,,,,,,,
