,Fecha,ventas_20470,ventas_20482,ventas_20560,ventas_20579,ventas_20596,ventas_20606,ventas_20713,ventas_20745,ventas_20910,totales_ventas,edad_ventas_20470,diff_ventas_20470,fraccion_ventas_20470,edad_ventas_20482,diff_ventas_20482,fraccion_ventas_20482,edad_ventas_20560,diff_ventas_20560,fraccion_ventas_20560,edad_ventas_20579,diff_ventas_20579,fraccion_ventas_20579,edad_ventas_20596,diff_ventas_20596,fraccion_ventas_20596,edad_ventas_20606,diff_ventas_20606,fraccion_ventas_20606,edad_ventas_20713,diff_ventas_20713,fraccion_ventas_20713,edad_ventas_20745,diff_ventas_20745,fraccion_ventas_20745,edad_ventas_20910,diff_ventas_20910,fraccion_ventas_20910
0,2017-01-01,8.31922,7.54695,7.05911,7.13491,4.539,5.91078,3.02416,2.91797,,46.4521,1,,0.17909244146120412,1,,0.16246735884922317,1,,0.1519653578632613,1,,0.1535971463077019,1,,0.09771355869809975,1,,0.12724462403206743,1,,0.0651027617696509,1,,0.0628167510187914,,,
1,2017-02-01,6.4359399999999996,5.88938,4.89574,4.46301,3.8660200000000002,4.06997,2.8209,3.01745,,35.45841,2,-0.22637699207377618,0.18150672858709682,2,-0.21963442185253643,0.16609261385380789,2,-0.30646497929625693,0.138069924737178,2,-0.3744826493957177,0.12586604983133762,2,-0.1482661379158404,0.10902970550568963,2,-0.31143267047665457,0.11478151445594993,2,-0.06721205227236661,0.0795551746398104,2,0.03409219423092089,0.0850982883891297,,,
2,2017-03-01,10.19804,10.23883,9.20445,8.56679,5.83086,6.81645,4.09262,3.84177,,58.78981,3,0.584545536471751,0.17346611598166417,3,0.7385242589202938,0.17415994370452975,3,0.8800937141269756,0.15656539798308583,3,0.9195094790287273,0.14571896047971578,3,0.5082332734957398,0.09918147379622422,3,0.6748157848829354,0.1159461137908083,3,0.4508206600730264,0.069614445088358,3,0.273184311256193,0.06534754917561393,,,
3,2017-04-01,6.97774,6.92812,5.71767,5.26483,3.98337,4.7543299999999995,3.3744,2.20443,,39.20489,4,-0.31577636487011235,0.17798136916083682,4,-0.32334846852618904,0.17671571071873943,4,-0.3788145951143197,0.14584073568373743,4,-0.38543725245978944,0.1342901357458215,4,-0.3168469145203281,0.10160390706363415,4,-0.3025211070278518,0.12126880090723376,4,-0.17549149444610054,0.08607089574795389,4,-0.4261941761219438,0.056228444972043025,,,
4,2017-05-01,9.86837,9.53427,8.08443,11.24115,8.19285,8.98476,6.23152,5.9085,,68.04585,5,0.41426450397979875,0.14502530279216147,5,0.37616987003689306,0.14011537808698105,5,0.4139378453111144,0.11880856804639811,5,1.1351401659692715,0.16519964112433014,5,1.05676349422725,0.12040190547990803,5,0.8898057139491791,0.13203979375670963,5,0.8467045993361781,0.09157825201683864,5,1.6802846994461156,0.0868311586966729,,,
5,2017-06-01,12.22141,8.2967,8.40059,10.94514,6.37721,10.17485,7.47582,6.82091,,70.71262999999999,6,0.23844262020982188,0.1728320669164759,6,-0.1298022816639344,0.11732981788401875,6,0.03910727163201364,0.11879900379889703,6,-0.026332715069187673,0.15478338169574518,6,-0.22161274770073908,0.09018487927828453,6,0.1324565152547202,0.14389013674077744,6,0.19967840912008628,0.10572114203643679,6,0.15442328848269435,0.09645957164936449,,,
6,2017-07-01,6.29128,9.25421,7.91273,4.83568,6.1785,7.29991,4.27552,4.0992299999999995,,50.147059999999996,7,-0.48522469993233186,0.125456607027411,7,0.11540853592392168,0.18454142675562638,7,-0.05807449238684421,0.15779050656209956,7,-0.558189296802051,0.09642998014240517,7,-0.03115939415512429,0.1232076217429297,7,-0.2825535511580023,0.14557004937079063,7,-0.42808681856973546,0.08525963436341034,7,-0.3990200721018164,0.08174417403532729,,,
7,2017-08-01,14.58798,12.14929,10.50513,9.62629,7.54255,7.27731,5.00289,3.60474,,70.29617999999999,8,1.3187618417873626,0.2075216604942118,8,0.3128392374929897,0.17283001722141947,8,0.3276239679604889,0.14944097958096728,8,0.990679697581312,0.13693902001502783,8,0.22077365056243436,0.1072967265077562,8,-0.00309592857994136,0.10352354850576519,8,0.1701243357533118,0.07116873207050511,8,-0.12062997197034553,0.05127931560434721,,,
8,2017-09-01,9.50255,10.47368,6.44052,5.82946,9.74667,7.3042300000000004,6.19294,4.82416,,60.31421,9,-0.3486041247657318,0.1575507662290528,9,-0.1379183474919111,0.17365194702873502,9,-0.3869166778516781,0.10678279629294656,9,-0.3944229812316063,0.09665151877144705,9,0.2922247780922897,0.1615982369660483,9,0.003699169061095446,0.12110297059349695,9,0.2378725096893996,0.10267795930677033,9,0.33828237265378364,0.07998380481150295,,,
9,2017-10-01,14.26746,15.00816,11.95944,10.39395,10.48278,8.25288,7.3786,5.38663,,83.12989999999999,10,0.5014348780064299,0.17162849949296224,10,0.43294047555396004,0.18053865095471067,10,0.8569059641146989,0.14386448197339347,10,0.783003914599294,0.12503262965551507,10,0.07552425597665664,0.1261011982451561,10,0.12987679741738675,0.09927691480442055,10,0.191453493817153,0.08875988062057094,10,0.11659439156246895,0.06479774425327109,,,
