,Fecha,ventas_20235,ventas_20255,ventas_20272,ventas_20276,ventas_20296,ventas_20300,ventas_20307,ventas_20316,ventas_20320,ventas_20354,ventas_20362,ventas_20407,ventas_20411,ventas_20965,ventas_20627,ventas_20859,ventas_20966,ventas_21092,ventas_21179,ventas_20694,ventas_20762,totales_ventas,edad_ventas_20235,diff_ventas_20235,fraccion_ventas_20235,edad_ventas_20255,diff_ventas_20255,fraccion_ventas_20255,edad_ventas_20272,diff_ventas_20272,fraccion_ventas_20272,edad_ventas_20276,diff_ventas_20276,fraccion_ventas_20276,edad_ventas_20296,diff_ventas_20296,fraccion_ventas_20296,edad_ventas_20300,diff_ventas_20300,fraccion_ventas_20300,edad_ventas_20307,diff_ventas_20307,fraccion_ventas_20307,edad_ventas_20316,diff_ventas_20316,fraccion_ventas_20316,edad_ventas_20320,diff_ventas_20320,fraccion_ventas_20320,edad_ventas_20354,diff_ventas_20354,fraccion_ventas_20354,edad_ventas_20362,diff_ventas_20362,fraccion_ventas_20362,edad_ventas_20407,diff_ventas_20407,fraccion_ventas_20407,edad_ventas_20411,diff_ventas_20411,fraccion_ventas_20411,edad_ventas_20965,diff_ventas_20965,fraccion_ventas_20965,edad_ventas_20627,diff_ventas_20627,fraccion_ventas_20627,edad_ventas_20859,diff_ventas_20859,fraccion_ventas_20859,edad_ventas_20966,diff_ventas_20966,fraccion_ventas_20966,edad_ventas_21092,diff_ventas_21092,fraccion_ventas_21092,edad_ventas_21179,diff_ventas_21179,fraccion_ventas_21179,edad_ventas_20694,diff_ventas_20694,fraccion_ventas_20694,edad_ventas_20762,diff_ventas_20762,fraccion_ventas_20762
0,2017-01-01,13.11154,18.38627,28.879630000000002,20.33609,21.46343,21.67279,22.70368,21.76432,20.24657,20.24505,11.76351,12.4924,17.568270000000002,0.88123,,,,,,,,251.51478,1,,0.05213029627920872,1,,0.07310214532919297,1,,0.11482279490692357,1,,0.08085445316573443,1,,0.08533665496715541,1,,0.08616905137741805,1,,0.09026777670878824,1,,0.0865329663727913,1,,0.08049852974843068,1,,0.08049248636600997,1,,0.046770651013033904,1,,0.0496686516792373,1,,0.06984985136857565,1,,0.0035036907174997825,,,,,,,,,,,,,,,,,,,,,
1,2017-02-01,33.18716,18.34597,26.464290000000002,28.66824,23.78868,20.08161,22.19066,19.79834,17.9474,15.38035,10.16643,13.43097,16.97138,3.11198,,,,,,,,269.53346,2,1.5311412694466098,0.1231281637537692,2,-0.002191852942440117,0.06806564943736486,2,-0.08363472800724941,0.09818554623978783,2,0.4097223212525123,0.10636245310693523,2,0.10833543380531446,0.08825872676438762,2,-0.07341832777413512,0.07450507257985707,2,-0.022596336805310743,0.08232988958031408,2,-0.09033041234460813,0.07345410844353054,2,-0.11355849410542133,0.06658690909841027,2,-0.24029083652547162,0.057062859653862645,2,-0.13576560057329828,0.037718619424838756,2,0.07513127981812945,0.049830436636698096,2,-0.03397545688903927,0.06296576313753402,2,2.531404968056013,0.011545802142709852,,,,,,,,,,,,,,,,,,,,,
2,2017-03-01,33.179339999999996,11.54492,29.72912,28.68503,27.4496,23.60196,25.98423,22.10444,20.10022,18.01676,9.37757,15.33462,20.25571,2.48769,,,,,,,,287.85121000000004,3,-0.00023563329914347538,0.11526559155335839,3,-0.3707108427627431,0.040107248463537803,3,0.12336737543308358,0.10327946858378674,3,0.0005856655309150581,0.09965228216341351,3,0.15389336440693646,0.09536037732827315,3,0.17530217945672666,0.08199361051843414,3,0.17095345519240973,0.09026965702176482,3,0.11647946241957663,0.0767912005650419,3,0.11995163644873365,0.06982850619248743,3,0.17141417457990238,0.06259053071203001,3,-0.07759459318561183,0.032577837696079165,3,0.14173585377675618,0.05327273072779509,3,0.19352168179605905,0.07036868109743225,3,-0.20060861573660493,0.008642277376565482,,,,,,,,,,,,,,,,,,,,,
3,2017-04-01,28.4638,19.38572,28.42038,22.87466,19.71003,22.23876,21.1764,17.716920000000002,17.361060000000002,12.44389,9.932830000000001,12.64469,15.38274,1.40584,,,,,,,,249.15772000000004,4,-0.14212277881356283,0.11424008856719348,4,0.6791558538300828,0.07780501443021712,4,-0.04402215739988268,0.11406582144033103,4,-0.20255757096994503,0.0918079520072667,4,-0.28195565691303337,0.07910663976215546,4,-0.0577579150206169,0.08925575334370532,4,-0.1850287655243199,0.08499194807208862,4,-0.1984904390249198,0.07110724885425986,4,-0.13627512534688666,0.0696789969020426,4,-0.30931588143484184,0.04994382674556501,4,0.059211501487059066,0.03986563209841541,4,-0.1754154977430154,0.05074974197066821,4,-0.24057265827759186,0.06173896598507964,4,-0.43488135579593923,0.005642369821011365,,,,,,,,,,,,,,,,,,,,,
4,2017-05-01,21.7936,18.69388,27.17389,20.90519,14.37252,19.23837,20.64473,15.254249999999999,19.59799,11.67769,10.40891,17.58327,16.7794,1.13685,,,,,,,,235.26054,5,-0.23433975786788827,0.09263601962318034,5,-0.03568812507350767,0.07946032938630508,5,-0.04385901947827585,0.11550551571462006,5,-0.08609832889319438,0.08885973822894397,5,-0.2708017187188452,0.06109192812360288,5,-0.13491714466094332,0.0817747421645806,5,-0.025106722577964237,0.08775262523838465,5,-0.13900102275113296,0.06483981546586605,5,0.12884754732717918,0.0833033453038916,5,-0.06157238612684615,0.04963726598604254,5,0.047929945443544245,0.04424418136590182,5,0.39056552592432064,0.0747395632093678,5,0.09079396778467289,0.07132262809564238,5,-0.19133756330734655,0.004832302093670277,,,,,,,,,,,,,,,,,,,,,
5,2017-06-01,26.49333,28.39513,19.95383,25.83487,22.55726,21.2236,23.02705,11.716,15.47316,9.87321,17.17447,11.91945,13.70813,1.24806,,,,,,,,248.59755,6,0.21564725423977674,0.10657116290969078,6,0.5189532617091798,0.11422127852828799,6,-0.26569843331227144,0.0802655939288219,6,0.2358112985340003,0.10392246423989294,6,0.5694714635985895,0.09073806238235252,6,0.1031911747201037,0.08537332729143952,6,0.11539603569530821,0.09262782356463287,6,-0.23195175115131847,0.04712838079055887,6,-0.2104720943321228,0.06224180407248583,6,-0.15452371145320692,0.03971563677920398,6,0.6499777594387883,0.06908543547593288,6,-0.32211414600355903,0.04794677180044614,6,-0.18303813008808412,0.05514185477692761,6,0.09782293178519597,0.005020403459326127,,,,,,,,,,,,,,,,,,,,,
6,2017-07-01,9.58229,18.60734,11.6973,9.92436,10.8934,8.65847,10.04718,5.2649,7.98622,7.43683,11.05163,5.33165,6.81965,0.83103,,,,,,,,124.13225,7,-0.638313115036879,0.07719420215133457,7,-0.3446996016570447,0.14989932108698586,7,-0.4137817150892836,0.09423256244851762,7,-0.6158540762930101,0.07994989215131443,7,-0.5170778720465163,0.08775640496325492,7,-0.5920357526527074,0.06975197823289274,7,-0.5636792381134361,0.0809393207647489,7,-0.5506230795493342,0.04241363545734489,7,-0.48386625614935797,0.06433638317197989,7,-0.24676675569546283,0.05991053896147053,7,-0.35650823577088553,0.08903109385353121,7,-0.5526932870224717,0.042951368399428834,7,-0.5025105539559371,0.05493858364768221,7,-0.33414258929859136,0.006694714709513443,,,,,,,,,,,,,,,,,,,,,
7,2017-08-01,12.21329,21.50368,16.00169,15.663920000000001,10.61227,14.50025,13.54307,6.82054,9.70422,6.89502,12.45345,10.09242,11.01882,1.27568,,,,,,,,162.29832000000002,8,0.27456902264490013,0.07525210365701875,8,0.15565577884856183,0.13249477875063645,8,0.36798150000427443,0.0985943046114094,8,0.57833049184028,0.09651313704294659,8,-0.025807369599941177,0.06538742976513866,8,0.6746896391625773,0.08934319221542156,8,0.3479473842411501,0.08344553412506056,8,0.2954737981728049,0.042024711038290474,8,0.2151205451390018,0.05979248583719165,8,-0.07285496643058936,0.042483619054097414,8,0.12684282770957775,0.07673184787125337,8,0.8929262048334007,0.06218437750926811,8,0.6157456760977469,0.06789238483799462,8,0.5350589028073593,0.00786009368427227,,,,,,,,,,,,,,,,,,,,,
8,2017-09-01,14.51497,17.80541,23.44376,21.59123,13.57648,18.53666,16.60642,9.98924,17.46049,14.028599999999999,12.26836,10.5091,16.41679,1.38083,,,,,,,,208.12833999999998,9,0.18845700052975073,0.06974047839904936,9,-0.1719831210285868,0.08555014660665626,9,0.4650802508984989,0.11264088302438775,9,0.37840527786148026,0.10373998082144893,9,0.2793191277643708,0.06523128950146818,9,0.27836830399475887,0.08906360373604096,9,0.22619317481191487,0.07978932614366693,9,0.46458198324472844,0.04799557811300471,9,0.7992677412507138,0.0838928999289573,9,1.0345988844122278,0.06740360298842532,9,-0.014862548129233316,0.058946129104762955,9,0.0412864308064864,0.05049336385424494,9,0.48988639436890696,0.07887820563023758,9,0.08242662736736492,0.006634512147648899,,,,,,,,,,,,,,,,,,,,,
9,2017-10-01,15.02901,33.10178,24.75376,20.30665,16.4866,18.15726,18.1641,13.12199,20.15724,13.59501,17.48646,12.82559,15.35676,1.70561,,,,,,,,240.24782,10,0.035414472093294,0.0625562804274353,10,0.8590855251297219,0.13778181213049093,10,0.0558784085829235,0.103034275191342,10,-0.05949545255179989,0.08452376383685813,10,0.2143501113690735,0.06862330738318458,10,-0.020467549170130994,0.07557721023233427,10,0.09379986776198611,0.07560568083406544,10,0.31361244699296437,0.054618560118464346,10,0.15444870103874528,0.0839018643332539,10,-0.03090757452632471,0.05658744374870915,10,0.4253298729414528,0.07278509332571675,10,0.22042705845410168,0.05338483404344731,10,-0.06456987023650783,0.06392049676038684,10,0.23520636139133713,0.007099377634311105,,,,,,,,,,,,,,,,,,,,,
