,Fecha,ventas_20239,ventas_20421,ventas_20750,ventas_20855,ventas_20877,ventas_20996,ventas_21003,ventas_21033,ventas_21073,ventas_21042,ventas_21044,totales_ventas,edad_ventas_20239,diff_ventas_20239,fraccion_ventas_20239,edad_ventas_20421,diff_ventas_20421,fraccion_ventas_20421,edad_ventas_20750,diff_ventas_20750,fraccion_ventas_20750,edad_ventas_20855,diff_ventas_20855,fraccion_ventas_20855,edad_ventas_20877,diff_ventas_20877,fraccion_ventas_20877,edad_ventas_20996,diff_ventas_20996,fraccion_ventas_20996,edad_ventas_21003,diff_ventas_21003,fraccion_ventas_21003,edad_ventas_21033,diff_ventas_21033,fraccion_ventas_21033,edad_ventas_21073,diff_ventas_21073,fraccion_ventas_21073,edad_ventas_21042,diff_ventas_21042,fraccion_ventas_21042,edad_ventas_21044,diff_ventas_21044,fraccion_ventas_21044
0,2017-01-01,32.88182,17.2974,,,,,,,,,,50.17922,1,,0.6552875871725387,1,,0.34471241282746123,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2017-02-01,8.23001,1.73355,,,,,,,,,,9.96356,2,-0.7497094138949729,0.8260109840257901,2,-0.8997797356828194,0.17398901597421002,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2017-03-01,31.55517,0.00347,,,,,,,,,,31.55864,3,2.8341593752619985,0.999890045958888,3,-0.9979983271321854,0.00010995404111203778,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2017-04-01,34.37505,25.09496,,,,,,,,,,59.47001,4,0.08936348623696216,0.5780232759335335,4,7230.976945244957,0.4219767240664664,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017-05-01,28.42648,15.21026,,,,,,,,,,43.63674,5,-0.17304905738318926,0.6514345480436898,5,-0.39389184123027093,0.34856545195631017,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2017-06-01,27.00625,14.99526,,,,,,,,,,42.00151,6,-0.04996151475666351,0.6429828356171005,6,-0.014135195585085322,0.35701716438289954,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2017-07-01,13.58816,8.18586,2.62941,4.49911,4.43033,1.48518,1.50047,,,,,36.31852,7,-0.4968512844249017,0.3741385937532697,7,-0.45410349670495875,0.22539079235607618,1.0,,0.07239859994294921,1.0,,0.1238792219506742,1.0,,0.1219854223134643,1.0,,0.04089318617608867,1.0,,0.04131418350747773,,,,,,,,,,,,
7,2017-08-01,19.09573,12.16953,2.49356,0.9585199999999999,0.73226,0.85397,0.84574,,,,,37.14931,8,0.4053212502649365,0.514026505472107,8,0.48665259361875235,0.3275842808385943,2.0,-0.05166558277332178,0.06712264642331177,2.0,-0.786953419676336,0.025801825121381794,2.0,-0.8347166012464082,0.019711267853965524,2.0,-0.4250057232120012,0.022987506362836887,2.0,-0.4363499436843122,0.022765967927802697,,,,,,,,,,,,
8,2017-09-01,24.20729,13.52524,3.31294,2.52553,3.15084,1.4665,1.36495,,,,,49.55329,9,0.2676807851807708,0.48851024826000455,9,0.11140200155634607,0.2729433303015804,3.0,0.3285984696578387,0.06685610582062261,3.0,1.6348224345866544,0.05096593990025688,3.0,3.302897877802966,0.06358488003521058,3.0,0.7172734405189877,0.029594402309110052,3.0,0.6139120769976589,0.02754509337321498,,,,,,,,,,,,
9,2017-10-01,19.70693,15.19637,3.4361099999999998,3.00329,2.63407,0.97402,1.14383,,,,,46.09462,10,-0.18590928600434004,0.4275321067838286,10,0.1235564026959965,0.32967773679444584,4.0,0.037178457804849935,0.07454470825445572,4.0,0.18917217376154707,0.06515489226291485,4.0,-0.16401023219205044,0.057144846838958645,4.0,-0.33581997954312987,0.021130882519478412,4.0,-0.16199860800761948,0.024814826545917937,,,,,,,,,,,,
10,2017-11-01,36.26757,16.04926,0.05228,0.8629899999999999,2.36349,0.2244,0.09391,,,,,55.9139,11,0.8403460102613649,0.6486324509647869,11,0.05612458764823444,0.2870352452610174,5.0,-0.984785120383224,0.0009350090049164877,5.0,-0.7126517918682511,0.015434265898104049,5.0,-0.10272316225460972,0.04227016895619873,5.0,-0.7696145869694667,0.00401331332638217,5.0,-0.9178986387837353,0.0016795465885942494,,,,,,,,,,,,
11,2017-12-01,15.8453,10.34938,1.64948,3.4084,2.71968,1.466,1.53537,,,,,36.97361,12,-0.5631000367545992,0.42855701674789126,12,-0.3551490847553096,0.2799126187569999,6.0,30.550879877582247,0.044612360004879156,6.0,2.949524328207743,0.09218466901122178,6.0,0.150705101354353,0.0735573291328599,6.0,5.532976827094474,0.03964990164606594,6.0,15.349377063145566,0.04152610470008203,,,,,,,,,,,,
12,2018-01-01,28.01336,12.66539,2.42736,2.3183599999999998,2.5583899999999997,0.79442,0.79172,,,,,49.569,13,0.7679286602336338,0.56513869555569,13,0.22378248745335472,0.25551029877544434,7.0,0.47159104687537895,0.04896931549960661,7.0,-0.31980988146931116,0.04677036050757529,7.0,-0.05930477114954707,0.05161270148681635,7.0,-0.4581036834924966,0.016026548851096452,7.0,-0.4843457928707738,0.015972079323770903,,,,,,,,,,,,
13,2018-02-01,8.5564,11.91303,3.9648,2.36198,2.73726,0.90849,1.14981,,,,,31.591769999999997,14,-0.6945600242170165,0.2708426909919894,14,-0.05940282928516226,0.37709283145578737,8.0,0.6333794739964405,0.12550104030258513,8.0,0.018815024413809858,0.07476567473110877,8.0,0.06991506377057459,0.08664471791229172,8.0,0.14358903350872335,0.02875717314984251,8.0,0.4522937402111858,0.03639587145639513,,,,,,,,,,,,
14,2018-03-01,23.34266,9.673259999999999,5.08749,3.39929,3.38474,1.65496,1.32737,,,,,47.86976999999999,15,1.72809359076247,0.4876284135060604,15,-0.18801010322310951,0.2020745033870019,9.0,0.28316434624697334,0.10627771973836518,9.0,0.43916967967552656,0.07101120393935464,9.0,0.23654311245552115,0.07070725428595125,9.0,0.8216601173375601,0.034572131848554954,9.0,0.1544255137805376,0.02772877329471189,,,,,,,,,,,,
15,2018-04-01,29.85716,13.26172,3.39012,2.59433,2.27868,0.86812,0.90855,,,,,53.158680000000004,16,0.2790813043586293,0.5616610495219219,16,0.37096697493916236,0.24947421568782369,10.0,-0.3336360366310302,0.06377359257227605,10.0,-0.23680239108755072,0.04880350678384037,10.0,-0.32677842315805644,0.042865624202858305,10.0,-0.4754435152511239,0.01633072905497277,10.0,-0.31552619088874995,0.017091282176306857,,,,,,,,,,,,
16,2018-05-01,25.53731,12.7798,6.0558,3.65692,3.35108,1.27816,1.37647,,,,,54.03554,17,-0.14468388821977707,0.47260210594730806,17,-0.036339177723553245,0.2365073061174183,11.0,0.7863084492584332,0.11207068533043252,11.0,0.40958166463017437,0.067676199775185,11.0,0.47062334333912614,0.062016221175914966,11.0,0.47233101414550976,0.023654061752690914,11.0,0.5150184359694019,0.02547341990105031,,,,,,,,,,,,
17,2018-06-01,13.45624,11.90951,3.79678,2.33141,2.29322,1.21753,1.21424,,,,,36.21893,18,-0.4730752769183599,0.3715250560963562,18,-0.06809887478677293,0.32882003968642914,12.0,-0.3730341160540308,0.10482860758172591,12.0,-0.3624662284107938,0.06436993030992356,12.0,-0.31567733387445246,0.06331550932067843,12.0,-0.047435375852788356,0.03361584674091697,12.0,-0.11785945207668898,0.033525010263969694,,,,,,,,,,,,
18,2018-07-01,8.11891,8.5291,3.12771,2.14336,2.03097,0.8309799999999999,0.9877,,,,,25.76873,19,-0.396643490306356,0.31506830177505835,19,-0.2838412327627249,0.33098643200499206,13.0,-0.17622037621352832,0.1213761795788927,13.0,-0.0806593434874175,0.08317678053982482,13.0,-0.11435884912917203,0.07881529279867498,13.0,-0.31748704344040807,0.03224761173717137,13.0,-0.18656937672947685,0.03832940156538564,,,,,,,,,,,,
19,2018-08-01,25.329,11.61135,4.93241,3.10717,2.20907,0.74149,1.7548599999999999,,,,,49.68535,20,2.119753760049071,0.5097880964912193,20,0.36138045045784434,0.23369765937041803,14.0,0.5770036224586039,0.0992729245139664,14.0,0.4496724768587638,0.06253694499485261,14.0,0.08769208801705597,0.04446119429570286,14.0,-0.10769212255409272,0.014923714938105497,14.0,0.7767135769970637,0.03531946539573536,,,,,,,,,,,,
20,2018-09-01,21.49527,10.48805,2.86517,2.27639,1.94154,0.63006,0.8769199999999999,,,,,40.5734,21,-0.1513573374392988,0.5297872497744829,21,-0.0967415502934629,0.2584957139406606,15.0,-0.41911357733846133,0.07061695593664814,15.0,-0.26737513557352827,0.056105477973253416,15.0,-0.12110526149012935,0.04785253392616838,15.0,-0.15027849330402301,0.015528893314338951,15.0,-0.5002906214740777,0.02161317513444769,,,,,,,,,,,,
21,2018-10-01,23.91219,11.47962,2.68731,2.41782,1.78867,0.85883,0.8272,,,,,43.97164,22,0.11243962043742635,0.5438093734961897,22,0.09454283684765054,0.2610687252056098,16.0,-0.062076595804088384,0.06111461842223761,16.0,0.06212907278629748,0.05498589545443381,16.0,-0.07873646692831467,0.040677809606373565,16.0,0.36309240389804154,0.019531452545322393,16.0,-0.05669844455594567,0.018812125269833013,,,,,,,,,,,,
