,Fecha,ventas_20948,ventas_21032,ventas_21088,ventas_21131,totales_ventas,edad_ventas_20948,diff_ventas_20948,fraccion_ventas_20948,edad_ventas_21032,diff_ventas_21032,fraccion_ventas_21032,edad_ventas_21088,diff_ventas_21088,fraccion_ventas_21088,edad_ventas_21131,diff_ventas_21131,fraccion_ventas_21131
0,2017-01-01,0.93743,0.70414,0.49021,0.30064,2.43242,1,,0.3853898586592776,1,,0.28948125734864866,1,,0.20153180782924002,1,,0.12359707616283373
1,2017-02-01,1.30882,0.6775899999999999,0.5939,0.32239,2.9027,2,0.39617891469229716,0.45089744031419027,2,-0.03770556991507381,0.23343438867261512,2,0.21152159278676488,0.20460261136183555,2,0.07234566258648215,0.11106555965135909
2,2017-03-01,2.20923,1.03648,0.77474,0.3803,4.40075,3,0.6879555630262371,0.50201215701869,3,0.5296565769860834,0.23552349031415099,3,0.30449570634787004,0.17604726467079473,3,0.179627159651354,0.08641708799636426
3,2017-04-01,1.91496,1.22302,1.03914,0.49051,4.667629999999999,4,-0.13320025529256793,0.4102638812416581,4,0.17997452917567142,0.26202162553587155,4,0.3412757828432764,0.22262690058980686,4,0.28979752826715743,0.1050875926326637
4,2017-05-01,1.5709499999999998,1.20301,0.60471,0.32943,3.7080999999999995,5,-0.17964343902744712,0.42365362314932176,5,-0.016361138820297366,0.3244276044335374,5,-0.41806686298285123,0.1630781262641245,5,-0.3283928971886404,0.08884064615301639
5,2017-06-01,2.26685,0.93984,0.93789,0.50152,4.646100000000001,6,0.44298036220121584,0.48790383332257153,6,-0.2187596113083016,0.2022857880803254,6,0.5509748474475369,0.2018660812294182,6,0.5223871535682845,0.10794429736768471
6,2017-07-01,1.38881,0.73982,0.501,0.27952,2.9091500000000003,7,-0.3873392593246133,0.4773937404396473,7,-0.21282345931222332,0.2543079593695753,7,-0.46582221795732975,0.1722152518776962,7,-0.4426543308342638,0.09608304831308112
7,2017-08-01,1.42995,0.97443,0.7099,0.39632,3.5106,8,0.029622482557009205,0.4073235344385575,8,0.3171176772728501,0.2775679371047684,8,0.41696606786427143,0.2022161453882527,8,0.4178591871780195,0.11289238306842135
8,2017-09-01,1.1122699999999999,0.9390900000000001,0.48948,0.10678,2.64762,9,-0.22216161404244916,0.4201018273015009,9,-0.036267356300606436,0.3546921385999502,9,-0.3104944358360332,0.1848754730663766,9,-0.7305712555510698,0.040330561032172293
9,2017-10-01,1.76528,0.68683,0.58629,0.48074,3.51914,10,0.5870966581855127,0.5016225555107213,10,-0.2686217508439021,0.19516984263200668,10,0.1977813189507231,0.16660036258858696,10,3.5021539614159956,0.13660723926868495
10,2017-11-01,1.29516,0.68721,0.49687,0.34517,2.82441,11,-0.26631469228677596,0.45855948676006675,11,0.0005532664560370629,0.24331099238425016,11,-0.1525183782769619,0.17591992663954595,11,-0.2820027457669427,0.12220959421613717
11,2017-12-01,0.7233999999999999,0.5210400000000001,0.14207,0.18424000000000001,1.5707499999999999,12,-0.44145897032026943,0.4605443259589368,12,-0.24180381542759846,0.3317141492917397,12,-0.7140700786926159,0.09044723858029605,12,-0.4662340296085986,0.11729428616902755
12,2018-01-01,1.2938,0.50669,0.37283,0.22787,2.4011899999999997,13,0.7884987558750348,0.538816170315552,13,-0.02754107170274851,0.211016204465286,13,1.6242697261913142,0.1552688458639258,13,0.23681068171949615,0.09489877935523637
13,2018-02-01,1.3821,0.69618,0.49415,0.37399,2.9464200000000003,14,0.06824857010357091,0.4690777282261185,14,0.3739761984645445,0.2362799600871566,14,0.32540299868572803,0.16771200304097852,14,0.64124281388511,0.12693030864574634
14,2018-03-01,2.26851,1.18114,0.91654,0.4637,4.829890000000001,15,0.6413501193835467,0.46968150413363446,15,0.6966014536470454,0.24454801248061547,15,0.8547809369624609,0.1897641561194975,15,0.23987272386962222,0.09600632726625243
15,2018-04-01,1.73399,1.06942,0.64965,0.42423,3.87729,16,-0.23562602765692023,0.44721699950222965,16,-0.0945865858407979,0.2758163562694563,16,-0.2911929648460515,0.16755259472466594,16,-0.08511968945438862,0.10941404950364816
16,2018-05-01,1.81654,1.1323999999999999,0.8069500000000001,0.3822,4.13809,17,0.04760696428468453,0.43898030250671205,17,0.0588917357072056,0.2736528205041456,17,0.24213037789579023,0.19500542520824826,17,-0.09907361572731775,0.09236145178089408
17,2018-06-01,1.45474,0.99153,0.81655,0.32523,3.58805,18,-0.19916985037488857,0.4054402809325399,18,-0.124399505475097,0.2763423029222001,18,0.01189664787161527,0.22757486657097867,18,-0.1490580847723704,0.0906425495742813
18,2018-07-01,1.24918,0.8213699999999999,0.50419,0.27493,2.8496699999999997,19,-0.14130360064341393,0.4383595293490124,19,-0.17161356691174254,0.28823337439071894,19,-0.3825362806931602,0.1769292584755428,19,-0.1546597792331581,0.09647783778472596
19,2018-08-01,1.62035,0.63445,0.51011,0.34627,3.11118,20,0.2971309178821307,0.5208152533765323,20,-0.22757100941110583,0.20392584164207792,20,0.011741605347190395,0.16396029802197234,20,0.2594842323500528,0.11129860695941733
20,2018-09-01,1.2084599999999999,0.6180899999999999,0.55409,0.31978,2.70042,21,-0.25419816706267173,0.44750816539649385,21,-0.025786113956970672,0.2288866176372564,21,0.08621669835917747,0.2051866006028692,21,-0.07650099633234185,0.11841861636338052
21,2018-10-01,0.72975,0.66425,0.33713,0.18897,1.9201000000000001,22,-0.396132267514026,0.3800583302952971,22,0.07468168066139251,0.34594552367064213,22,-0.3915609377537945,0.1755793969064111,22,-0.40906248045531307,0.0984167491276496
22,2018-11-01,0.76479,0.59058,0.4234,0.17644,1.95521,23,0.048016443987666954,0.3911549143058802,23,-0.1109070380127964,0.30205451076866424,23,0.2558953519413876,0.21654962894011387,23,-0.06630682118854837,0.09024094598534174
23,2018-12-01,0.7271799999999999,0.29358,0.22682,0.16323,1.41081,24,-0.049176898233502055,0.5154343958435225,24,-0.5028954587016153,0.20809322304208222,24,-0.46428908833254606,0.16077288933307818,24,-0.07486964407163924,0.11569949178131711
24,2019-01-01,0.68199,0.31845999999999997,0.29289,0.23321,1.5265499999999996,25,-0.062144173382106156,0.44675248108479915,25,0.08474691736494297,0.20861419540794604,25,0.29128824618640325,0.1918640070747765,25,0.42872021074557387,0.1527693164324785
25,2019-02-01,0.988,0.58982,0.49756,0.27223,2.34761,26,0.4487015938650127,0.4208535489284847,26,0.8521007347861587,0.2512427532682175,26,0.6987947693673394,0.21194321032880248,26,0.16731701041979344,0.11596048747449535
26,2019-03-01,0.75458,0.8903099999999999,0.47892999999999997,0.31555,2.43937,27,-0.23625506072874491,0.3093339673768227,27,0.5094605133769623,0.36497538298823057,27,-0.03744272047592257,0.19633347954594835,27,0.1591301473019137,0.12935717008899839
27,2019-04-01,1.32156,0.6277200000000001,0.61087,0.35401,2.9141600000000003,28,0.7513848763550585,0.4534960331622148,28,-0.2949422111399399,0.2154034095588437,28,0.27548911114359104,0.20962129738929913,28,0.12188242750752652,0.12147925988964228
28,2019-05-01,1.1418599999999999,0.8444699999999999,0.41523,0.40974,2.8113,29,-0.13597566512303655,0.40616796499839924,29,0.3452972662970749,0.3003841639099349,29,-0.32026454073698174,0.14770035215025076,29,0.15742493149911022,0.145747518941415
29,2019-06-01,1.03902,0.74963,0.55364,0.33578,2.6780700000000004,30,-0.09006358047396339,0.3879734286258387,30,-0.11230712754745571,0.2799142666173774,30,0.3333333333333334,0.20673096670363356,30,-0.1805047103040952,0.12538133805315022
30,2019-07-01,1.13076,0.68393,0.45848,0.22838,2.5015500000000004,31,0.08829473927354616,0.4520237452779276,31,-0.0876432373304163,0.2734024904559173,31,-0.17188064446210538,0.1832783674122044,31,-0.3198522842337245,0.09129539685395054
31,2019-08-01,0.87114,0.5044799999999999,0.35653,0.27834,2.01049,32,-0.22959779263504188,0.4332973553710787,32,-0.2623806529908033,0.2509239041228755,32,-0.22236520677019714,0.17733487856194263,32,0.21875821000087564,0.13844386194410319
32,2019-09-01,1.00143,0.55323,0.31306,0.20717,2.0748900000000003,33,0.14956264205523798,0.48264245333487554,33,0.09663415794481461,0.26663100212541385,33,-0.1219252236838415,0.15088028762970565,33,-0.25569447438384707,0.09984625691000484
33,2019-10-01,0.5245799999999999,0.43677,0.16046,0.17834,1.30015,34,-0.47616907821814813,0.4034765219397762,34,-0.21050919147551653,0.33593816098142526,34,-0.48744649587938416,0.12341652886205438,34,-0.13916107544528647,0.13716878821674422
34,2019-11-01,0.61505,0.35181,0.26437,0.19248,1.42371,35,0.1724617789469672,0.43200511340090325,35,-0.19451885431691732,0.24710790821164422,35,0.6475757198055591,0.18569090615364084,35,0.07928675563530344,0.13519607223381166
35,2019-12-01,0.41822,0.17637,0.08061,0.08076,0.75596,36,-0.3200227623770425,0.5532303296470713,36,-0.4986782638355931,0.23330599502619187,36,-0.695086431894693,0.10663262606487116,36,-0.580423940149626,0.10683104926186571
